account_id,customer_id,product_type,original_balance,current_balance,interest_rate_band,fees_accrued,days_past_due,loan_tenure_months,legal_stage,region_id
A10349,C0285,Credit Card,434287,212190,High,16031,120,48,Pre-Legal,R03
A10350,C0286,Personal Loan,460258,64116,Medium,23097,30,24,Pre-Legal,R01
A10351,C0287,Telecom,226132,128535,Low,21675,180,24,Charged-Off,R03
A10352,C0288,Credit Card,257159,148021,High,24679,60,48,Pre-Legal,R01
A10353,C0289,Credit Card,488484,48298,Medium,4849,60,60,Pre-Legal,R01
A10354,C0290,Credit Card,27432,471791,Medium,6689,240,60,Pre-Legal,R02
A10355,C0291,Personal Loan,387353,216447,High,1057,180,60,Pre-Legal,R03
A10356,C0292,Personal Loan,292273,471610,High,13474,30,36,Pre-Legal,R03
A10357,C0293,Credit Card,153726,48758,Low,2660,240,12,Pre-Legal,R02
A10358,C0294,Credit Card,323479,89469,Low,16119,30,48,Pre-Legal,R03
A10359,C0295,Personal Loan,263942,245259,Low,24924,30,12,Pre-Legal,R03
A10360,C0295,Credit Card,215457,125205,High,22599,60,36,Legal,R01
A10361,C0296,Personal Loan,388921,112841,High,11179,180,24,Pre-Legal,R02
A10362,C0297,Personal Loan,364543,264072,High,10655,120,36,Legal,R01
A10363,C0298,Personal Loan,469622,159013,Low,20746,60,36,Pre-Legal,R03
A10364,C0299,Personal Loan,321951,405449,Medium,4635,30,12,Pre-Legal,R03
A10365,C0300,Credit Card,251853,280237,High,9894,180,60,Pre-Legal,R01
A10366,C0300,Credit Card,391030,337839,High,2840,180,24,Legal,R01
A10367,C0301,Credit Card,206869,318867,Low,24430,120,24,Charged-Off,R01
A10368,C0302,Personal Loan,337174,71815,Medium,3422,120,48,Pre-Legal,R01
A10369,C0303,Credit Card,97088,20608,Medium,23279,180,48,Pre-Legal,R01
A10370,C0304,Personal Loan,376362,391606,Low,19823,180,36,Charged-Off,R02
A10371,C0305,Personal Loan,482748,462154,Medium,23882,120,48,Charged-Off,R01
A10372,C0306,Credit Card,275033,372855,High,2114,60,12,Pre-Legal,R02
A10373,C0306,Personal Loan,141327,64648,Medium,6233,240,12,Pre-Legal,R01
A10374,C0307,Credit Card,431077,79186,Medium,19281,30,24,Pre-Legal,R03
A10375,C0307,Credit Card,338531,163051,Low,1230,60,48,Legal,R02
A10376,C0308,Credit Card,389841,81483,High,1257,120,60,Pre-Legal,R01
A10377,C0308,Credit Card,431893,229096,High,23423,60,60,Charged-Off,R02
A10378,C0309,Personal Loan,372053,61105,Medium,1549,120,24,Pre-Legal,R03
A10379,C0310,Credit Card,492694,42278,High,24915,60,36,Charged-Off,R01
A10380,C0311,Personal Loan,268399,479911,Low,20793,60,60,Charged-Off,R03
A10381,C0311,Credit Card,418810,17460,Medium,3942,60,24,Legal,R03
A10382,C0312,Telecom,214188,355822,High,12704,60,12,Pre-Legal,R01
A10383,C0313,Credit Card,260644,408659,Low,16523,60,24,Pre-Legal,R02
A10384,C0314,Personal Loan,173560,184587,Low,2419,240,48,Legal,R02
A10385,C0315,Credit Card,449865,74030,Low,15349,240,60,Legal,R01
A10386,C0315,Personal Loan,477531,277390,High,3839,120,36,Pre-Legal,R03
A10387,C0316,Personal Loan,147378,423506,High,4191,60,60,Pre-Legal,R01
A10388,C0317,Telecom,264901,412516,High,5987,120,48,Pre-Legal,R01
A10389,C0317,Personal Loan,225229,25547,Low,2959,120,24,Pre-Legal,R01
A10390,C0318,Telecom,55577,17921,High,2917,30,36,Pre-Legal,R02
A10391,C0319,Credit Card,371206,70152,Low,21533,180,48,Pre-Legal,R03
A10392,C0320,Credit Card,95992,299464,Low,9877,240,24,Charged-Off,R02
A10393,C0321,Telecom,134780,102081,High,23092,30,48,Pre-Legal,R01
A10394,C0322,Personal Loan,497412,192171,Low,10445,120,60,Pre-Legal,R01
A10395,C0323,Credit Card,200889,310863,High,14955,180,60,Pre-Legal,R01
A10396,C0324,Telecom,98563,150102,High,20239,120,36,Legal,R02
A10397,C0324,Telecom,365922,412997,Medium,19282,180,48,Pre-Legal,R02
A10398,C0325,Credit Card,110481,67802,Medium,15574,120,60,Pre-Legal,R01
A10399,C0325,Credit Card,135042,142922,Low,10339,60,36,Charged-Off,R02
A10400,C0326,Credit Card,165762,316251,Medium,21803,180,36,Charged-Off,R03
A10401,C0327,Credit Card,21832,449584,Medium,7670,180,36,Legal,R03
A10402,C0327,Credit Card,123187,300578,Medium,1166,120,24,Legal,R03
A10403,C0328,Credit Card,199693,406825,Medium,16496,120,60,Pre-Legal,R03
A10404,C0329,Personal Loan,22526,432902,Medium,7074,180,24,Pre-Legal,R03
A10405,C0330,Credit Card,202643,94062,High,13742,120,12,Pre-Legal,R03
A10406,C0330,Personal Loan,184164,104407,Medium,18829,120,60,Legal,R01
A10407,C0331,Credit Card,23420,337019,High,7985,30,24,Legal,R01
A10408,C0332,Telecom,265289,104342,Low,23424,120,24,Pre-Legal,R03
A10409,C0333,Personal Loan,69477,123261,Medium,5567,30,48,Legal,R01
A10410,C0334,Personal Loan,492164,259413,Low,13069,120,12,Pre-Legal,R01
A10411,C0334,Credit Card,329642,332952,Medium,16039,120,36,Legal,R01
A10412,C0335,Credit Card,304305,42738,High,24885,240,36,Pre-Legal,R01
A10413,C0335,Telecom,368274,86942,Low,14233,180,12,Pre-Legal,R01
A10414,C0336,Credit Card,241404,280332,Medium,7265,60,60,Legal,R01
A10415,C0337,Credit Card,54986,356466,High,18036,60,36,Pre-Legal,R02
A10416,C0337,Credit Card,310358,315889,Low,11181,120,36,Pre-Legal,R02
A10417,C0338,Personal Loan,234738,223920,Medium,6283,30,48,Pre-Legal,R03
A10418,C0339,Credit Card,310911,293491,High,4763,180,60,Legal,R03
A10419,C0339,Credit Card,47690,17994,Medium,7877,30,12,Pre-Legal,R01
A10420,C0340,Credit Card,375289,195294,High,8379,180,60,Pre-Legal,R03
A10421,C0341,Personal Loan,406910,254190,Low,6891,60,12,Legal,R02
A10422,C0342,Personal Loan,487119,474474,Medium,20558,180,12,Pre-Legal,R01
A10423,C0343,Credit Card,66996,324091,Low,10175,30,12,Pre-Legal,R01
A10424,C0344,Personal Loan,324604,168868,Medium,515,30,60,Pre-Legal,R03
A10425,C0345,Credit Card,288556,465973,Low,9007,60,48,Pre-Legal,R02
A10426,C0346,Telecom,412248,152912,Low,2915,60,60,Legal,R02
A10427,C0347,Personal Loan,322085,462166,Low,11018,240,60,Pre-Legal,R01
A10428,C0348,Credit Card,179245,417611,High,19707,120,36,Pre-Legal,R01
A10429,C0349,Credit Card,260660,314738,Medium,997,120,60,Pre-Legal,R02
A10430,C0350,Telecom,51346,96196,High,5104,180,60,Legal,R02
A10431,C0350,Credit Card,459525,22274,High,20675,60,12,Pre-Legal,R01
A10432,C0351,Personal Loan,192507,221089,Low,18070,30,12,Pre-Legal,R01
A10433,C0352,Personal Loan,287223,434054,Medium,14841,180,60,Pre-Legal,R02
A10434,C0353,Telecom,77748,63807,Medium,9285,240,48,Pre-Legal,R02
A10435,C0354,Credit Card,461920,31997,Medium,17695,120,60,Pre-Legal,R02
A10436,C0355,Personal Loan,245226,223467,Medium,5923,60,48,Pre-Legal,R03
A10437,C0356,Personal Loan,186964,409969,Medium,3775,240,24,Charged-Off,R01
A10438,C0356,Personal Loan,348761,288661,Low,5264,180,12,Pre-Legal,R01
A10439,C0357,Personal Loan,165711,85210,Low,10195,60,48,Pre-Legal,R02
A10440,C0358,Credit Card,64406,451697,Medium,12571,30,12,Charged-Off,R02
A10441,C0359,Telecom,258084,304884,Medium,18375,120,60,Legal,R02
A10442,C0360,Credit Card,136894,173987,Medium,12721,180,24,Legal,R02
A10443,C0360,Telecom,387808,84306,Medium,9588,30,24,Pre-Legal,R02
A10444,C0361,Personal Loan,121584,323509,Low,2733,240,36,Pre-Legal,R01
A10445,C0362,Credit Card,111707,331405,Medium,9099,180,24,Pre-Legal,R02
A10446,C0363,Credit Card,478988,435566,Medium,23688,60,36,Pre-Legal,R01
A10447,C0364,Personal Loan,277653,364473,Medium,23964,180,24,Pre-Legal,R02
A10448,C0365,Telecom,82508,250863,Medium,20330,30,12,Legal,R01
A10449,C0366,Telecom,110744,216495,Low,9992,60,36,Pre-Legal,R01
A10450,C0367,Personal Loan,491826,95781,Medium,16183,60,36,Legal,R02
A10451,C0368,Personal Loan,226422,203873,Low,20214,240,24,Pre-Legal,R02
A10452,C0369,Credit Card,354119,45921,Low,18101,120,36,Pre-Legal,R03
A10453,C0369,Credit Card,429508,439726,Medium,10815,60,24,Legal,R02
A10454,C0370,Telecom,440134,333457,High,13884,60,36,Pre-Legal,R02
A10455,C0371,Credit Card,48715,259826,Medium,23632,120,60,Legal,R03
A10456,C0372,Credit Card,70551,149273,High,11153,120,48,Pre-Legal,R03
A10457,C0373,Credit Card,70061,203691,Low,5622,120,24,Pre-Legal,R03
A10458,C0374,Telecom,235280,122042,Medium,18304,60,60,Pre-Legal,R03
A10459,C0375,Personal Loan,45322,394648,High,7060,30,48,Legal,R03
A10460,C0376,Personal Loan,99311,309957,High,16097,60,60,Pre-Legal,R02
A10461,C0376,Telecom,298245,23831,Low,5504,120,60,Legal,R03
A10462,C0377,Personal Loan,318509,339332,Medium,17656,60,60,Charged-Off,R01
A10463,C0378,Credit Card,231811,328099,Low,17631,60,60,Legal,R02
A10464,C0379,Personal Loan,81768,58262,Medium,13554,30,48,Pre-Legal,R03
A10465,C0380,Credit Card,435017,183767,High,5106,120,12,Charged-Off,R01
A10466,C0381,Credit Card,172185,166083,Medium,10585,60,24,Pre-Legal,R01
A10467,C0382,Personal Loan,422632,448210,Low,24604,180,36,Pre-Legal,R03
A10468,C0383,Personal Loan,467398,31738,Medium,19556,60,12,Pre-Legal,R03
A10469,C0384,Personal Loan,258989,196350,Low,9924,240,12,Legal,R01
A10470,C0385,Credit Card,248456,423995,Medium,7611,120,12,Pre-Legal,R01
A10471,C0386,Credit Card,277288,140093,High,1519,120,36,Charged-Off,R02
A10472,C0387,Telecom,385169,145509,Medium,3773,60,24,Pre-Legal,R02
A10473,C0387,Personal Loan,314819,37007,High,14547,180,24,Legal,R03
A10474,C0388,Personal Loan,148771,140801,Medium,21587,180,60,Legal,R03
A10475,C0389,Personal Loan,193497,24387,Medium,12515,30,48,Pre-Legal,R02
A10476,C0390,Credit Card,33580,33240,High,10716,180,36,Legal,R02
A10477,C0390,Credit Card,184340,280790,Low,10548,180,12,Pre-Legal,R03
A10478,C0391,Credit Card,231912,435505,Low,9786,180,60,Pre-Legal,R03
A10479,C0392,Credit Card,172420,180368,Medium,13788,120,24,Legal,R01
A10480,C0393,Credit Card,363782,149476,Low,606,60,24,Legal,R02
A10481,C0394,Personal Loan,287724,392046,Low,21173,120,24,Pre-Legal,R02
A10482,C0395,Credit Card,241775,320292,High,24986,30,60,Pre-Legal,R02
A10483,C0395,Telecom,483313,107943,High,17616,120,48,Legal,R01
A10484,C0396,Credit Card,478034,164748,High,12819,60,24,Charged-Off,R02
A10485,C0397,Credit Card,486192,271463,Low,11718,120,24,Charged-Off,R02
A10486,C0398,Credit Card,402990,433161,Medium,10696,30,12,Legal,R02
A10487,C0398,Credit Card,362543,325939,Medium,17908,180,48,Legal,R01
A10488,C0399,Telecom,143323,201110,Medium,8397,120,60,Pre-Legal,R01
A10489,C0399,Personal Loan,298411,295412,Low,5899,120,48,Pre-Legal,R01
A10490,C0400,Telecom,316753,379929,Medium,24145,120,24,Pre-Legal,R03
A10491,C0401,Personal Loan,171460,402368,Low,21472,180,36,Pre-Legal,R02
A10492,C0402,Credit Card,253076,237700,Medium,23989,180,60,Pre-Legal,R02
A10493,C0403,Telecom,70406,411904,Medium,16775,120,24,Legal,R03
A10494,C0403,Personal Loan,411698,117339,Medium,10138,60,12,Legal,R03
A10495,C0404,Credit Card,418591,104023,High,21100,120,12,Pre-Legal,R01
A10496,C0405,Telecom,337453,220719,High,11564,60,48,Pre-Legal,R02
A10497,C0405,Personal Loan,131186,446262,Medium,17497,120,48,Pre-Legal,R01
A10498,C0406,Personal Loan,345063,124869,Medium,22270,120,60,Pre-Legal,R02
A10499,C0406,Personal Loan,410106,348447,High,4015,30,24,Pre-Legal,R01
A10500,C0407,Personal Loan,48670,475767,Low,3300,240,24,Legal,R01
A10501,C0408,Credit Card,176228,70904,High,16608,30,60,Charged-Off,R01
A10502,C0408,Credit Card,143225,250847,Medium,13089,60,36,Pre-Legal,R03
A10503,C0409,Telecom,26611,365386,High,18648,120,48,Pre-Legal,R01
A10504,C0409,Credit Card,162645,167481,High,20344,60,48,Pre-Legal,R02
A10505,C0410,Credit Card,111788,259437,High,17927,120,36,Charged-Off,R02
A10506,C0411,Credit Card,169333,435594,Low,21719,120,36,Pre-Legal,R02
A10507,C0412,Personal Loan,168430,338854,High,16553,120,12,Pre-Legal,R03
A10508,C0413,Personal Loan,494150,186955,Medium,18876,240,48,Pre-Legal,R02
A10509,C0414,Credit Card,468995,230888,Medium,11274,120,60,Pre-Legal,R02
A10510,C0415,Credit Card,414163,408238,Medium,16661,30,12,Pre-Legal,R02
A10511,C0416,Personal Loan,40557,36825,Low,13829,180,36,Pre-Legal,R03
A10512,C0417,Personal Loan,413173,124367,Low,19682,180,24,Legal,R02
A10513,C0417,Personal Loan,488799,415966,Low,9899,120,48,Pre-Legal,R01
A10514,C0418,Personal Loan,124887,76086,Medium,17869,60,60,Pre-Legal,R01
A10515,C0419,Telecom,47313,57103,High,23735,120,60,Pre-Legal,R01
A10516,C0420,Credit Card,469058,155688,Low,16470,120,24,Pre-Legal,R02
A10517,C0421,Credit Card,298606,356376,Medium,1531,120,24,Pre-Legal,R01
A10518,C0421,Personal Loan,489189,358133,Low,2050,180,24,Pre-Legal,R02
A10519,C0422,Personal Loan,199238,54369,Medium,13161,120,48,Pre-Legal,R03
A10520,C0423,Credit Card,33672,143145,Low,564,30,48,Pre-Legal,R03
A10521,C0423,Personal Loan,402452,359660,Medium,20490,60,36,Pre-Legal,R03
A10522,C0424,Credit Card,469704,17631,High,23258,180,60,Legal,R03
A10523,C0425,Personal Loan,133926,336345,High,16945,180,60,Pre-Legal,R01
A10524,C0425,Personal Loan,337006,43004,High,4425,120,24,Legal,R03
A10525,C0426,Credit Card,95955,461164,Medium,10914,120,48,Pre-Legal,R03
A10526,C0427,Credit Card,344888,170418,Medium,23645,60,48,Pre-Legal,R03
A10527,C0428,Telecom,191475,278369,High,15872,180,24,Legal,R01
A10528,C0429,Personal Loan,330625,174547,Medium,11498,120,36,Pre-Legal,R01
A10529,C0429,Personal Loan,260454,338599,Medium,22324,240,48,Pre-Legal,R03
A10530,C0430,Credit Card,413611,198741,High,18894,60,60,Legal,R01
A10531,C0430,Telecom,71993,185458,Medium,24797,120,48,Pre-Legal,R02
A10532,C0431,Telecom,331251,440368,Low,1851,60,48,Legal,R02
A10533,C0432,Personal Loan,289578,307172,Medium,2537,120,36,Legal,R01
A10534,C0433,Credit Card,214310,361382,High,9483,60,24,Pre-Legal,R02
A10535,C0434,Credit Card,327550,253078,Medium,14719,60,12,Charged-Off,R01
A10536,C0435,Telecom,469303,418169,Medium,23060,30,60,Pre-Legal,R02
A10537,C0436,Personal Loan,23515,19454,Low,8884,60,48,Legal,R02
A10538,C0437,Credit Card,116129,429546,Low,24930,240,48,Pre-Legal,R02
A10539,C0438,Personal Loan,53064,418037,Medium,5783,240,24,Legal,R02
A10540,C0439,Personal Loan,233057,367323,Low,14190,180,12,Pre-Legal,R03
A10541,C0439,Personal Loan,233877,125373,Low,5370,180,36,Charged-Off,R01
A10542,C0440,Credit Card,282584,469171,Medium,5913,180,60,Pre-Legal,R01
A10543,C0441,Credit Card,351650,353730,Medium,1025,30,48,Legal,R02
A10544,C0442,Personal Loan,309647,431981,High,14344,30,60,Charged-Off,R03
A10545,C0442,Telecom,281320,86540,Medium,12255,30,24,Pre-Legal,R01
A10546,C0443,Personal Loan,245783,170360,High,15532,30,36,Legal,R03
A10547,C0444,Credit Card,77941,446146,Medium,23330,180,48,Charged-Off,R01
A10548,C0445,Telecom,492099,46276,Medium,16013,30,48,Pre-Legal,R03
A10549,C0446,Personal Loan,66281,471029,Low,24817,180,48,Legal,R03
A10550,C0447,Telecom,193795,197394,Low,19905,120,24,Legal,R03
A10551,C0448,Personal Loan,310726,82471,High,9774,180,24,Pre-Legal,R02
A10552,C0449,Credit Card,363671,406597,Medium,22149,120,36,Legal,R01
A10553,C0450,Credit Card,455693,356324,Low,12377,30,12,Pre-Legal,R01
A10554,C0451,Telecom,350918,320319,Low,6058,240,12,Pre-Legal,R03
A10555,C0452,Personal Loan,485070,441285,High,8006,60,36,Charged-Off,R02
A10556,C0453,Personal Loan,406547,396688,Low,934,60,36,Pre-Legal,R01
A10557,C0454,Credit Card,452809,447331,Medium,3213,30,36,Pre-Legal,R01
A10558,C0454,Personal Loan,433146,194022,Medium,20565,120,36,Legal,R03
A10559,C0455,Personal Loan,172635,349152,Medium,12508,180,60,Legal,R03
A10560,C0456,Personal Loan,334942,478694,Medium,2100,60,12,Pre-Legal,R01
A10561,C0457,Personal Loan,320677,277170,High,22206,30,24,Legal,R02
A10562,C0458,Telecom,111860,173757,High,22297,180,24,Pre-Legal,R02
A10563,C0459,Credit Card,486418,444201,Medium,5785,180,48,Pre-Legal,R01
A10564,C0460,Credit Card,319966,384556,High,2281,60,48,Pre-Legal,R03
A10565,C0460,Personal Loan,488390,245755,Medium,10766,180,12,Pre-Legal,R02
A10566,C0461,Telecom,318169,136246,Low,11168,240,48,Legal,R03
A10567,C0462,Credit Card,366655,24665,Medium,20206,60,48,Charged-Off,R02
A10568,C0463,Personal Loan,307979,241351,Low,21522,60,12,Pre-Legal,R01
A10569,C0464,Credit Card,443796,106685,Low,7650,30,48,Legal,R03
A10570,C0465,Personal Loan,240172,40301,Medium,12519,120,24,Pre-Legal,R01
A10571,C0466,Telecom,413920,20452,Medium,4181,60,60,Legal,R03
A10572,C0467,Credit Card,117898,465651,Medium,15207,30,12,Pre-Legal,R02
A10573,C0468,Personal Loan,303855,423275,High,2029,60,48,Pre-Legal,R02
A10574,C0469,Credit Card,219695,119132,Medium,19175,240,12,Charged-Off,R03
A10575,C0470,Credit Card,416608,470473,High,4283,60,24,Pre-Legal,R02
A10576,C0470,Personal Loan,336235,122154,Medium,15672,60,36,Pre-Legal,R01
A10577,C0471,Credit Card,491731,153939,Medium,4829,60,60,Pre-Legal,R02
A10578,C0472,Personal Loan,121069,263577,High,14350,30,24,Pre-Legal,R01
A10579,C0473,Personal Loan,275560,258738,High,13892,30,36,Legal,R03
A10580,C0474,Personal Loan,145223,90205,Medium,1582,60,12,Pre-Legal,R02
A10581,C0475,Credit Card,201676,459049,Medium,15663,180,24,Pre-Legal,R03
A10582,C0476,Telecom,127252,187855,High,3279,180,12,Pre-Legal,R02
A10583,C0477,Credit Card,295261,251591,Medium,16518,120,24,Legal,R02
A10584,C0478,Credit Card,112529,256496,High,18497,60,12,Pre-Legal,R03
A10585,C0479,Telecom,440601,57176,Low,3645,60,24,Pre-Legal,R03
A10586,C0480,Credit Card,404963,427230,Medium,8056,120,36,Legal,R01
A10587,C0481,Personal Loan,367786,406731,Low,2560,30,48,Pre-Legal,R01
A10588,C0482,Credit Card,453595,322558,Low,9864,30,24,Legal,R02
A10589,C0483,Credit Card,156080,232885,Low,6512,180,60,Pre-Legal,R02
A10590,C0484,Credit Card,356999,31575,Low,18287,120,12,Pre-Legal,R02
A10591,C0485,Personal Loan,234776,41863,Medium,17688,30,36,Pre-Legal,R02
A10592,C0486,Telecom,386099,424420,Medium,2593,240,60,Charged-Off,R03
A10593,C0487,Personal Loan,127001,102725,Low,9736,180,60,Legal,R01
A10594,C0488,Personal Loan,171168,158092,Low,11885,60,48,Legal,R01
A10595,C0489,Credit Card,240319,120711,High,3042,240,24,Pre-Legal,R03
A10596,C0490,Personal Loan,456417,451531,Medium,11245,60,36,Legal,R02
A10597,C0491,Personal Loan,94974,361228,Low,19719,120,48,Pre-Legal,R02
A10598,C0491,Telecom,109241,38397,Medium,24220,240,12,Pre-Legal,R03
A10599,C0492,Credit Card,497698,260620,Medium,13315,240,60,Legal,R02
A10600,C0493,Personal Loan,332946,139125,Low,22778,120,24,Charged-Off,R02
A10601,C0494,Personal Loan,140333,31772,Low,3832,60,36,Pre-Legal,R02
A10602,C0495,Telecom,151007,16301,High,24580,30,12,Pre-Legal,R03
A10603,C0496,Credit Card,389068,47735,Medium,2605,180,12,Charged-Off,R02
A10604,C0496,Telecom,161140,273946,Medium,1567,60,48,Pre-Legal,R02
A10605,C0497,Credit Card,470511,48939,Medium,671,180,48,Pre-Legal,R01
A10606,C0498,Telecom,446141,460085,High,11595,120,12,Pre-Legal,R02
A10607,C0499,Credit Card,140120,305706,Medium,7453,180,48,Pre-Legal,R01
A10608,C0500,Personal Loan,468628,27644,Low,11178,30,48,Pre-Legal,R03
A10609,C0501,Personal Loan,416523,294889,Low,2287,120,24,Pre-Legal,R02
A10610,C0502,Personal Loan,102579,152392,Low,9821,180,36,Legal,R01
A10611,C0503,Credit Card,137159,302871,Medium,11258,30,48,Legal,R01
A10612,C0504,Personal Loan,48106,238830,Medium,5284,240,36,Pre-Legal,R03
A10613,C0505,Telecom,431166,74739,Low,14035,60,48,Pre-Legal,R03
A10614,C0505,Telecom,45530,256348,High,24929,180,24,Pre-Legal,R03
A10615,C0506,Telecom,66666,434389,Medium,13485,240,48,Pre-Legal,R03
A10616,C0507,Credit Card,305648,125551,High,24173,60,36,Legal,R02
A10617,C0508,Personal Loan,136360,378284,High,4144,60,48,Pre-Legal,R02
A10618,C0509,Personal Loan,62756,216330,Medium,17666,120,12,Legal,R03
A10619,C0509,Personal Loan,118980,431850,High,4590,120,48,Pre-Legal,R03
A10620,C0510,Credit Card,225134,366753,Medium,17462,120,24,Pre-Legal,R02
A10621,C0511,Telecom,51566,440737,High,14065,120,24,Pre-Legal,R03
A10622,C0512,Credit Card,73619,118536,Medium,23080,120,12,Pre-Legal,R01
A10623,C0513,Credit Card,406622,147672,Low,4192,60,48,Legal,R02
A10624,C0513,Personal Loan,493599,29507,High,6606,240,24,Legal,R03
A10625,C0514,Telecom,373062,81600,Medium,7320,60,12,Pre-Legal,R01
A10626,C0515,Telecom,291855,205334,Medium,10097,120,60,Pre-Legal,R01
A10627,C0516,Credit Card,206085,387860,High,7000,120,24,Pre-Legal,R01
A10628,C0516,Credit Card,482273,145672,Low,24479,60,24,Pre-Legal,R03
A10629,C0517,Credit Card,186664,71006,Low,17870,30,36,Pre-Legal,R02
A10630,C0518,Credit Card,158997,280251,Medium,20214,120,48,Legal,R01
A10631,C0519,Personal Loan,432924,61221,Medium,8118,120,48,Pre-Legal,R01
A10632,C0519,Personal Loan,344158,296667,Low,20935,30,12,Charged-Off,R03
A10633,C0520,Personal Loan,466850,289843,Low,1876,120,36,Pre-Legal,R03
A10634,C0521,Personal Loan,98860,167215,High,18771,240,60,Pre-Legal,R01
A10635,C0522,Credit Card,332379,367690,Low,15217,120,12,Pre-Legal,R02
A10636,C0523,Credit Card,191297,287951,High,5021,120,48,Pre-Legal,R02
A10637,C0524,Personal Loan,73257,401134,High,16010,30,60,Legal,R01
A10638,C0524,Personal Loan,365259,307338,High,19322,180,48,Legal,R03
A10639,C0525,Telecom,128750,89180,High,1253,120,12,Pre-Legal,R03
A10640,C0526,Telecom,391551,450401,Medium,10369,30,60,Pre-Legal,R03
A10641,C0527,Telecom,495479,401230,High,3581,120,24,Pre-Legal,R03
A10642,C0528,Credit Card,91880,121734,Medium,1938,240,60,Pre-Legal,R02
A10643,C0529,Telecom,389006,263751,Medium,16969,120,24,Legal,R03
A10644,C0530,Personal Loan,261024,331379,Low,10455,180,60,Pre-Legal,R03
A10645,C0531,Personal Loan,117540,68533,High,17313,30,36,Pre-Legal,R01
A10646,C0532,Credit Card,317908,247843,High,23701,60,60,Pre-Legal,R01
A10647,C0533,Credit Card,290717,30582,Low,14000,60,24,Pre-Legal,R03
A10648,C0534,Personal Loan,118706,415156,Medium,8595,180,12,Legal,R01
A10649,C0535,Credit Card,381198,433660,Medium,24318,120,36,Pre-Legal,R02
A10650,C0536,Credit Card,394994,145011,Low,17136,60,60,Pre-Legal,R02
A10651,C0536,Credit Card,447685,285640,High,10972,180,60,Pre-Legal,R03
A10652,C0537,Credit Card,63634,132255,Medium,5087,60,48,Legal,R03
A10653,C0537,Credit Card,259204,292941,High,538,30,24,Legal,R03
A10654,C0538,Credit Card,465484,173070,Low,14806,180,24,Pre-Legal,R03
A10655,C0539,Telecom,299228,366591,Low,2093,240,24,Pre-Legal,R02
A10656,C0540,Telecom,284052,438574,Low,18674,120,12,Pre-Legal,R02
A10657,C0541,Credit Card,187967,347643,Medium,12261,120,48,Pre-Legal,R01
A10658,C0542,Personal Loan,256692,373998,Low,14546,60,24,Pre-Legal,R01
A10659,C0543,Personal Loan,38318,159318,Medium,22084,180,12,Pre-Legal,R01
A10660,C0543,Personal Loan,254856,383225,Medium,1450,30,12,Legal,R02
A10661,C0544,Credit Card,59023,399412,High,22148,120,24,Pre-Legal,R03
A10662,C0544,Personal Loan,372186,360242,High,13565,30,48,Legal,R03
A10663,C0545,Telecom,25149,319136,Low,14121,180,24,Pre-Legal,R03
A10664,C0545,Personal Loan,327655,330387,Low,17810,240,24,Legal,R02
A10665,C0546,Credit Card,151458,341478,High,4633,60,12,Pre-Legal,R02
A10666,C0547,Personal Loan,325033,29633,Medium,19663,240,12,Pre-Legal,R03
A10667,C0548,Credit Card,59979,186713,Medium,6916,60,36,Legal,R01
A10668,C0549,Credit Card,138243,413077,High,15346,60,60,Pre-Legal,R03
A10669,C0550,Credit Card,430646,443787,Low,14966,60,60,Pre-Legal,R01
A10670,C0550,Telecom,69607,417961,High,18830,180,60,Legal,R03
A10671,C0551,Personal Loan,371187,316065,Low,16089,30,12,Legal,R01
A10672,C0552,Telecom,429962,305658,High,20296,60,60,Pre-Legal,R02
A10673,C0553,Personal Loan,133436,253198,Medium,24752,120,48,Pre-Legal,R02
A10674,C0554,Personal Loan,233718,218729,High,8500,120,24,Pre-Legal,R02
A10675,C0555,Credit Card,391698,145436,Low,2102,120,36,Legal,R01
A10676,C0555,Personal Loan,201326,356468,High,10771,60,12,Pre-Legal,R02
A10677,C0556,Credit Card,110381,367171,High,5330,30,48,Pre-Legal,R01
A10678,C0557,Telecom,487060,437870,Low,18429,60,36,Pre-Legal,R03
A10679,C0558,Telecom,67419,379236,Low,23904,240,48,Pre-Legal,R01
A10680,C0559,Credit Card,128269,350988,Medium,1874,180,24,Pre-Legal,R02
A10681,C0560,Telecom,82969,51660,Medium,14508,60,36,Pre-Legal,R02
A10682,C0561,Credit Card,466029,305111,Medium,21476,180,48,Pre-Legal,R03
A10683,C0562,Telecom,309965,372941,Low,17884,120,36,Pre-Legal,R02
A10684,C0563,Credit Card,216339,173829,Medium,1498,180,60,Legal,R01
A10685,C0563,Credit Card,463862,256452,Medium,10533,120,24,Pre-Legal,R03
A10686,C0564,Personal Loan,138576,394563,Low,3129,240,24,Pre-Legal,R03
A10687,C0564,Telecom,38179,303363,Medium,16327,180,24,Pre-Legal,R03
A10688,C0565,Personal Loan,285856,371211,Medium,12995,30,48,Pre-Legal,R01
A10689,C0565,Personal Loan,99030,78910,High,23271,120,12,Pre-Legal,R02
A10690,C0566,Personal Loan,350350,352044,Medium,18566,30,48,Pre-Legal,R02
A10691,C0567,Personal Loan,56622,313030,High,24109,120,12,Pre-Legal,R03
A10692,C0568,Telecom,483609,293456,High,18983,60,36,Pre-Legal,R02
A10693,C0569,Credit Card,137922,270217,Medium,3623,60,60,Legal,R01
A10694,C0570,Credit Card,230190,58888,High,5299,180,24,Pre-Legal,R02
A10695,C0570,Credit Card,449750,308812,Medium,7515,60,36,Legal,R01
