signal_id,account_id,customer_id,past_payment_frequency,avg_payment_percent,broken_promises_count,last_contact_outcome,last_call_sentiment,digital_engagement_score,response_latency_days
S00390,A10390,C0318,Regular,1.9,3,Refused,Neutral,40,6
S00391,A10391,C0319,None,9.3,1,No Answer,Cooperative,64,11
S00392,A10392,C0320,Regular,2.51,0,Refused,Distressed,20,1
S00393,A10393,C0321,None,1.44,4,No Answer,Neutral,78,6
S00394,A10394,C0322,None,4.54,6,Refused,Neutral,20,7
S00395,A10395,C0323,Irregular,1.35,1,Connected,Neutral,14,2
S00396,A10396,C0324,Irregular,6.88,0,No Answer,Cooperative,48,9
S00397,A10397,C0324,None,3.01,4,Connected,Cooperative,42,2
S00398,A10398,C0325,Irregular,8.3,4,Refused,Cooperative,26,4
S00399,A10399,C0325,Irregular,4.03,6,No Answer,Angry,51,6
S00400,A10400,C0326,Irregular,0.63,2,No Answer,Distressed,61,18
S00401,A10401,C0327,Irregular,2.81,6,No Answer,Neutral,35,4
S00402,A10402,C0327,Irregular,3.23,6,No Answer,Neutral,59,7
S00403,A10403,C0328,Irregular,7.76,0,Connected,Angry,85,5
S00404,A10404,C0329,Regular,2.93,4,Connected,Cooperative,68,14
S00405,A10405,C0330,Irregular,2.13,3,Connected,Distressed,73,11
S00406,A10406,C0330,Irregular,7.57,0,Connected,Angry,73,6
S00407,A10407,C0331,Regular,1.55,4,No Answer,Neutral,40,16
S00408,A10408,C0332,None,5.3,0,Connected,Neutral,52,11
S00409,A10409,C0333,Irregular,4.64,1,Connected,Neutral,35,5
S00410,A10410,C0334,Irregular,6.64,4,No Answer,Cooperative,86,0
S00411,A10411,C0334,Regular,6.49,3,Refused,Distressed,66,12
S00412,A10412,C0335,Regular,7.66,6,Connected,Distressed,97,16
S00413,A10413,C0335,Irregular,6.54,3,No Answer,Neutral,99,14
S00414,A10414,C0336,Irregular,6.79,4,Connected,Neutral,47,2
S00415,A10415,C0337,Irregular,4.09,5,Connected,Distressed,60,4
S00416,A10416,C0337,Irregular,3.46,0,Refused,Cooperative,25,15
S00417,A10417,C0338,Regular,6.23,0,Connected,Distressed,79,2
S00418,A10418,C0339,Regular,1.1,2,Connected,Cooperative,22,15
S00419,A10419,C0339,Irregular,1.28,6,No Answer,Angry,69,3
S00420,A10420,C0340,Irregular,7.77,0,Connected,Distressed,41,5
S00421,A10421,C0341,None,7.21,4,No Answer,Distressed,28,20
S00422,A10422,C0342,Irregular,4.06,0,Connected,Distressed,84,19
S00423,A10423,C0343,None,7.53,6,Connected,Cooperative,10,17
S00424,A10424,C0344,None,4.54,6,Connected,Distressed,57,8
S00425,A10425,C0345,Regular,9.05,6,No Answer,Cooperative,22,1
S00426,A10426,C0346,Regular,5.81,4,Refused,Distressed,30,2
S00427,A10427,C0347,Regular,6.78,2,Connected,Distressed,29,11
S00428,A10428,C0348,Irregular,9.67,2,Connected,Distressed,91,8
S00429,A10429,C0349,Regular,4.04,0,Refused,Angry,22,5
S00430,A10430,C0350,Irregular,7.75,6,No Answer,Neutral,61,16
S00431,A10431,C0350,Irregular,7.18,4,Refused,Distressed,12,13
S00432,A10432,C0351,Irregular,2.26,4,Connected,Cooperative,21,20
S00433,A10433,C0352,None,6.83,3,No Answer,Neutral,64,4
S00434,A10434,C0353,None,1.6,1,Refused,Neutral,80,2
S00435,A10435,C0354,None,7.57,3,No Answer,Distressed,72,19
S00436,A10436,C0355,Irregular,1.34,4,Connected,Neutral,56,17
S00437,A10437,C0356,None,8.31,2,Refused,Neutral,81,12
S00438,A10438,C0356,Regular,1.17,6,No Answer,Neutral,42,11
S00439,A10439,C0357,None,2.67,1,No Answer,Cooperative,88,0
S00440,A10440,C0358,None,1.88,6,Connected,Distressed,64,11
S00441,A10441,C0359,None,9.87,5,Connected,Angry,65,11
S00442,A10442,C0360,Irregular,3.08,4,No Answer,Neutral,17,4
S00443,A10443,C0360,Regular,8.88,0,No Answer,Cooperative,31,2
S00444,A10444,C0361,None,5.79,5,No Answer,Distressed,97,11
S00445,A10445,C0362,None,6.62,6,Refused,Neutral,57,6
S00446,A10446,C0363,Irregular,7.7,1,No Answer,Cooperative,55,12
S00447,A10447,C0364,Regular,3.14,0,No Answer,Neutral,22,8
S00448,A10448,C0365,Irregular,8.56,0,Connected,Distressed,63,17
S00449,A10449,C0366,Regular,4.12,3,No Answer,Cooperative,88,15
S00450,A10450,C0367,Irregular,5.7,6,Refused,Cooperative,53,17
S00451,A10451,C0368,Irregular,3.15,4,Connected,Neutral,13,16
S00452,A10452,C0369,Regular,6.51,0,Connected,Neutral,90,11
S00453,A10453,C0369,Irregular,7.62,6,No Answer,Neutral,71,20
S00454,A10454,C0370,Irregular,1.39,6,Connected,Cooperative,57,6
S00455,A10455,C0371,Irregular,2.04,0,Connected,Cooperative,39,14
S00456,A10456,C0372,Regular,8.56,5,No Answer,Distressed,35,18
S00457,A10457,C0373,Irregular,6.46,1,No Answer,Distressed,49,9
S00458,A10458,C0374,None,5.14,1,No Answer,Angry,59,7
S00459,A10459,C0375,Irregular,1.85,0,Refused,Cooperative,86,2
S00460,A10460,C0376,None,7.98,5,No Answer,Cooperative,22,14
S00461,A10461,C0376,Regular,5.65,2,Refused,Neutral,34,10
S00462,A10462,C0377,Irregular,3.62,1,Refused,Angry,28,13
S00463,A10463,C0378,Regular,9.92,3,No Answer,Cooperative,15,18
S00464,A10464,C0379,None,9.5,6,Refused,Cooperative,28,18
S00465,A10465,C0380,Regular,9.69,2,Connected,Distressed,70,6
S00466,A10466,C0381,Irregular,3.89,2,No Answer,Distressed,31,13
S00467,A10467,C0382,None,3.73,3,Connected,Cooperative,11,16
S00468,A10468,C0383,Irregular,8.55,5,Refused,Neutral,44,10
S00469,A10469,C0384,Regular,8.26,0,Connected,Distressed,60,1
S00470,A10470,C0385,None,8.21,0,No Answer,Neutral,94,13
S00471,A10471,C0386,Regular,9.26,6,No Answer,Distressed,86,13
S00472,A10472,C0387,Irregular,8.42,5,Connected,Cooperative,50,6
S00473,A10473,C0387,None,6.42,1,Refused,Neutral,69,15
S00474,A10474,C0388,Irregular,7.88,1,No Answer,Neutral,29,16
S00475,A10475,C0389,None,0.74,2,Refused,Neutral,79,2
S00476,A10476,C0390,None,0.98,0,Refused,Distressed,45,14
S00477,A10477,C0390,None,5.47,6,Connected,Neutral,95,12
S00478,A10478,C0391,Regular,4.59,5,Connected,Angry,70,5
S00479,A10479,C0392,Regular,7.16,2,Connected,Distressed,57,4
S00480,A10480,C0393,None,9.21,4,No Answer,Cooperative,81,20
S00481,A10481,C0394,None,8.31,6,Connected,Neutral,84,9
S00482,A10482,C0395,Irregular,8.27,0,Connected,Cooperative,45,1
S00483,A10483,C0395,None,1.37,3,Refused,Cooperative,17,17
S00484,A10484,C0396,Irregular,8.96,1,Connected,Cooperative,60,9
S00485,A10485,C0397,Regular,1.27,5,Connected,Distressed,20,2
S00486,A10486,C0398,None,6.39,4,No Answer,Angry,52,8
S00487,A10487,C0398,Irregular,2.03,4,Connected,Cooperative,10,7
S00488,A10488,C0399,Irregular,4.84,3,No Answer,Distressed,18,8
S00489,A10489,C0399,None,8.84,0,No Answer,Neutral,12,20
S00490,A10490,C0400,Irregular,9.11,0,No Answer,Cooperative,19,14
S00491,A10491,C0401,Regular,7.84,5,Refused,Neutral,90,17
S00492,A10492,C0402,None,5.82,4,Refused,Distressed,17,10
S00493,A10493,C0403,Irregular,2.81,3,Connected,Distressed,46,18
S00494,A10494,C0403,None,3.49,3,No Answer,Cooperative,71,1
S00495,A10495,C0404,Regular,7.59,1,Connected,Distressed,26,7
S00496,A10496,C0405,Irregular,0.72,1,Connected,Distressed,60,3
S00497,A10497,C0405,Regular,2.04,1,Refused,Cooperative,52,6
S00498,A10498,C0406,Irregular,6.48,1,Connected,Distressed,87,17
S00499,A10499,C0406,Regular,1.46,5,Connected,Neutral,88,5
S00500,A10500,C0407,Irregular,5.65,0,Connected,Distressed,44,6
S00501,A10501,C0408,None,6.88,2,No Answer,Angry,70,0
S00502,A10502,C0408,Regular,4.67,6,Connected,Distressed,54,6
S00503,A10503,C0409,Irregular,5.86,5,No Answer,Distressed,99,18
S00504,A10504,C0409,Irregular,8.22,5,Refused,Neutral,18,13
S00505,A10505,C0410,Irregular,2.35,2,No Answer,Neutral,76,8
S00506,A10506,C0411,Irregular,0.54,4,No Answer,Distressed,80,14
S00507,A10507,C0412,Irregular,9.09,3,Refused,Angry,98,3
S00508,A10508,C0413,Irregular,9.45,3,Refused,Cooperative,45,10
S00509,A10509,C0414,Irregular,5.26,1,No Answer,Cooperative,72,1
S00510,A10510,C0415,None,4.58,1,Connected,Angry,68,10
S00511,A10511,C0416,Irregular,7.78,5,No Answer,Cooperative,54,13
S00512,A10512,C0417,Regular,5.6,3,Refused,Distressed,53,14
S00513,A10513,C0417,Irregular,3.07,6,Connected,Angry,71,5
S00514,A10514,C0418,Regular,8.72,3,Connected,Neutral,46,3
S00515,A10515,C0419,Irregular,8.67,1,Refused,Cooperative,32,16
S00516,A10516,C0420,Regular,0.72,4,No Answer,Distressed,32,5
S00517,A10517,C0421,Regular,2.96,3,Refused,Neutral,11,2
S00518,A10518,C0421,Regular,8.66,1,No Answer,Distressed,80,6
S00519,A10519,C0422,Regular,7.68,0,Connected,Cooperative,14,1
S00520,A10520,C0423,Regular,0.59,4,No Answer,Cooperative,13,0
S00521,A10521,C0423,Regular,2.34,3,Connected,Neutral,94,2
S00522,A10522,C0424,Regular,6.8,6,No Answer,Angry,15,7
S00523,A10523,C0425,Irregular,0.97,4,No Answer,Angry,51,4
S00524,A10524,C0425,None,2.93,3,No Answer,Cooperative,55,11
S00525,A10525,C0426,Irregular,4.38,5,Connected,Distressed,68,17
S00526,A10526,C0427,None,0.87,0,No Answer,Cooperative,51,6
S00527,A10527,C0428,None,6.49,6,No Answer,Neutral,81,5
S00528,A10528,C0429,None,6.73,0,Connected,Neutral,48,15
S00529,A10529,C0429,Irregular,3.73,2,Refused,Neutral,16,15
S00530,A10530,C0430,None,4.66,3,Refused,Neutral,41,18
S00531,A10531,C0430,Regular,8.37,1,Refused,Neutral,55,3
S00532,A10532,C0431,Regular,2.11,2,Refused,Cooperative,25,20
S00533,A10533,C0432,Regular,3.39,3,Refused,Neutral,85,19
S00534,A10534,C0433,None,4.61,0,Connected,Neutral,43,12
S00535,A10535,C0434,Regular,9.82,3,Refused,Distressed,52,7
S00536,A10536,C0435,None,5.69,4,No Answer,Cooperative,40,5
S00537,A10537,C0436,Regular,1.23,5,Refused,Distressed,59,17
S00538,A10538,C0437,Irregular,9.02,3,No Answer,Angry,92,7
S00539,A10539,C0438,Irregular,9.17,1,No Answer,Neutral,28,11
S00540,A10540,C0439,Regular,0.98,0,Connected,Neutral,90,11
S00541,A10541,C0439,Irregular,3.66,3,Connected,Cooperative,24,10
S00542,A10542,C0440,Irregular,7.26,5,No Answer,Neutral,96,10
S00543,A10543,C0441,None,2.25,2,Connected,Cooperative,91,7
S00544,A10544,C0442,Irregular,4.83,0,Connected,Neutral,17,18
S00545,A10545,C0442,Regular,8.3,0,Refused,Cooperative,45,9
S00546,A10546,C0443,Irregular,2.98,5,Connected,Neutral,84,3
S00547,A10547,C0444,Regular,7.29,6,Refused,Cooperative,95,13
S00548,A10548,C0445,None,9.23,5,No Answer,Cooperative,14,5
S00549,A10549,C0446,Irregular,5.48,6,Refused,Neutral,22,4
S00550,A10550,C0447,None,2.18,2,Refused,Neutral,44,14
S00551,A10551,C0448,None,1.15,5,Connected,Neutral,39,4
S00552,A10552,C0449,Irregular,1.02,3,Refused,Cooperative,41,7
S00553,A10553,C0450,Irregular,2.87,2,No Answer,Neutral,65,15
S00554,A10554,C0451,None,4.8,4,Connected,Angry,19,5
S00555,A10555,C0452,None,3.31,4,No Answer,Cooperative,53,1
S00556,A10556,C0453,Irregular,7.67,0,Connected,Neutral,79,6
S00557,A10557,C0454,None,4.14,4,Refused,Angry,28,16
S00558,A10558,C0454,Regular,5.6,6,Refused,Angry,24,11
S00559,A10559,C0455,Irregular,3.6,4,Refused,Neutral,74,9
S00560,A10560,C0456,Irregular,4.6,6,Refused,Cooperative,18,2
S00561,A10561,C0457,Regular,4.33,0,No Answer,Neutral,80,3
S00562,A10562,C0458,Regular,4.0,3,Refused,Distressed,12,10
S00563,A10563,C0459,None,3.22,2,Connected,Neutral,65,5
S00564,A10564,C0460,None,5.82,1,No Answer,Neutral,15,6
S00565,A10565,C0460,Regular,5.93,0,Refused,Distressed,88,14
S00566,A10566,C0461,Irregular,9.97,1,Connected,Neutral,36,20
S00567,A10567,C0462,Regular,6.53,2,Connected,Distressed,46,7
S00568,A10568,C0463,Irregular,3.17,6,No Answer,Neutral,16,19
S00569,A10569,C0464,Regular,9.01,5,Connected,Neutral,66,13
S00570,A10570,C0465,Irregular,9.74,1,Refused,Cooperative,41,5
S00571,A10571,C0466,None,4.26,6,Connected,Distressed,86,20
S00572,A10572,C0467,Irregular,1.22,4,Connected,Cooperative,49,15
S00573,A10573,C0468,Irregular,2.81,0,Refused,Neutral,10,15
S00574,A10574,C0469,Irregular,8.54,4,Connected,Distressed,94,14
S00575,A10575,C0470,Regular,5.58,2,No Answer,Angry,77,14
S00576,A10576,C0470,Regular,4.28,0,Connected,Cooperative,82,11
S00577,A10577,C0471,None,2.1,1,Connected,Angry,18,17
S00578,A10578,C0472,Regular,4.44,2,Refused,Cooperative,46,2
S00579,A10579,C0473,Irregular,3.64,2,No Answer,Neutral,50,4
S00580,A10580,C0474,None,1.93,5,No Answer,Cooperative,64,13
S00581,A10581,C0475,Irregular,8.75,3,Refused,Distressed,69,17
S00582,A10582,C0476,Regular,8.68,6,Refused,Cooperative,17,16
S00583,A10583,C0477,Irregular,7.97,6,No Answer,Neutral,55,6
S00584,A10584,C0478,Regular,6.67,4,No Answer,Distressed,26,7
S00585,A10585,C0479,Regular,5.32,5,Connected,Cooperative,55,10
S00586,A10586,C0480,Regular,1.9,3,No Answer,Cooperative,14,8
S00587,A10587,C0481,Regular,6.97,3,No Answer,Cooperative,69,20
S00588,A10588,C0482,None,8.63,2,Connected,Neutral,77,9
S00589,A10589,C0483,Irregular,9.96,0,Connected,Neutral,37,9
S00590,A10590,C0484,Irregular,8.8,4,No Answer,Angry,89,7
S00591,A10591,C0485,Regular,2.6,5,Connected,Cooperative,49,10
S00592,A10592,C0486,Irregular,3.89,5,No Answer,Neutral,83,4
S00593,A10593,C0487,Irregular,5.95,0,Connected,Cooperative,80,15
S00594,A10594,C0488,Regular,6.98,6,No Answer,Angry,74,16
S00595,A10595,C0489,None,3.18,4,No Answer,Cooperative,75,10
S00596,A10596,C0490,Regular,4.74,4,Connected,Cooperative,58,10
S00597,A10597,C0491,Regular,1.68,1,Refused,Cooperative,43,4
S00598,A10598,C0491,None,2.2,3,No Answer,Distressed,91,15
S00599,A10599,C0492,None,5.91,1,Connected,Angry,87,2
S00600,A10600,C0493,None,6.7,2,No Answer,Neutral,33,0
S00601,A10601,C0494,Irregular,3.86,6,Refused,Distressed,49,0
S00602,A10602,C0495,None,6.1,6,Connected,Distressed,62,16
S00603,A10603,C0496,Regular,6.82,2,Connected,Cooperative,44,11
S00604,A10604,C0496,Regular,1.01,3,No Answer,Cooperative,58,20
S00605,A10605,C0497,Irregular,8.01,3,Connected,Angry,25,2
S00606,A10606,C0498,Regular,1.16,6,Connected,Cooperative,61,11
S00607,A10607,C0499,Irregular,1.49,2,Connected,Neutral,32,9
S00608,A10608,C0500,Regular,4.58,2,No Answer,Cooperative,70,3
S00609,A10609,C0501,Irregular,9.35,4,No Answer,Distressed,60,10
S00610,A10610,C0502,None,4.26,0,Connected,Cooperative,78,15
S00611,A10611,C0503,Regular,8.97,3,No Answer,Distressed,65,4
S00612,A10612,C0504,Regular,7.34,1,No Answer,Distressed,55,9
S00613,A10613,C0505,Regular,0.98,1,No Answer,Neutral,47,13
S00614,A10614,C0505,Irregular,1.32,2,Connected,Distressed,47,14
S00615,A10615,C0506,Regular,7.52,1,Connected,Cooperative,72,8
S00616,A10616,C0507,Irregular,9.98,5,Connected,Cooperative,20,10
S00617,A10617,C0508,None,9.42,4,Connected,Angry,77,3
S00618,A10618,C0509,Regular,1.48,2,Connected,Cooperative,40,7
S00619,A10619,C0509,Regular,6.26,3,No Answer,Cooperative,29,7
S00620,A10620,C0510,Irregular,8.11,5,Refused,Cooperative,14,15
S00621,A10621,C0511,Irregular,7.43,5,Connected,Angry,36,11
S00622,A10622,C0512,Irregular,6.09,6,Connected,Angry,65,1
S00623,A10623,C0513,Regular,1.48,1,No Answer,Distressed,58,10
S00624,A10624,C0513,Regular,8.42,1,Connected,Cooperative,56,14
S00625,A10625,C0514,Irregular,2.8,3,Connected,Cooperative,19,7
S00626,A10626,C0515,Irregular,9.74,5,Connected,Distressed,61,5
S00627,A10627,C0516,Irregular,5.03,3,No Answer,Cooperative,43,18
S00628,A10628,C0516,Regular,6.71,4,No Answer,Cooperative,18,20
S00629,A10629,C0517,Irregular,5.6,3,Refused,Distressed,10,6
S00630,A10630,C0518,Irregular,5.1,5,No Answer,Neutral,40,7
S00631,A10631,C0519,Irregular,1.1,3,Connected,Angry,87,14
S00632,A10632,C0519,None,0.84,6,Connected,Cooperative,65,18
S00633,A10633,C0520,Regular,6.83,5,Refused,Neutral,87,15
S00634,A10634,C0521,Irregular,1.22,4,Connected,Cooperative,27,3
S00635,A10635,C0522,Regular,4.32,4,No Answer,Neutral,16,1
S00636,A10636,C0523,Regular,5.62,4,Connected,Neutral,56,20
S00637,A10637,C0524,Irregular,1.7,5,No Answer,Distressed,26,8
S00638,A10638,C0524,Irregular,4.23,2,No Answer,Neutral,10,20
S00639,A10639,C0525,Regular,2.05,4,Connected,Neutral,62,7
S00640,A10640,C0526,Regular,1.57,1,No Answer,Angry,42,12
S00641,A10641,C0527,None,2.0,5,No Answer,Angry,26,11
S00642,A10642,C0528,Regular,4.0,5,Connected,Distressed,62,20
S00643,A10643,C0529,Regular,3.83,6,Connected,Neutral,35,20
S00644,A10644,C0530,Regular,9.15,6,Refused,Cooperative,38,1
S00645,A10645,C0531,Regular,6.1,2,Connected,Distressed,58,8
S00646,A10646,C0532,Irregular,3.12,5,No Answer,Cooperative,39,16
S00647,A10647,C0533,Irregular,9.04,2,No Answer,Cooperative,67,11
S00648,A10648,C0534,Irregular,1.07,2,No Answer,Distressed,78,2
S00649,A10649,C0535,Irregular,2.29,4,Refused,Cooperative,71,16
S00650,A10650,C0536,Irregular,2.85,3,Connected,Distressed,40,4
S00651,A10651,C0536,Irregular,2.36,4,Refused,Cooperative,67,18
S00652,A10652,C0537,Regular,8.65,1,Connected,Distressed,39,0
S00653,A10653,C0537,Irregular,9.42,0,No Answer,Neutral,87,10
S00654,A10654,C0538,None,2.28,3,No Answer,Distressed,18,13
S00655,A10655,C0539,Irregular,9.73,4,Connected,Cooperative,16,6
S00656,A10656,C0540,None,9.91,1,No Answer,Distressed,45,15
S00657,A10657,C0541,Regular,6.1,0,Connected,Cooperative,79,12
S00658,A10658,C0542,Irregular,2.79,6,Connected,Cooperative,90,8
S00659,A10659,C0543,Regular,8.5,3,No Answer,Distressed,19,6
S00660,A10660,C0543,None,9.16,2,No Answer,Neutral,78,10
S00661,A10661,C0544,Irregular,6.39,6,No Answer,Distressed,15,10
S00662,A10662,C0544,Regular,2.14,1,No Answer,Neutral,94,10
S00663,A10663,C0545,Irregular,1.48,1,No Answer,Cooperative,88,16
S00664,A10664,C0545,Regular,3.06,1,Refused,Cooperative,23,3
S00665,A10665,C0546,None,8.38,3,No Answer,Cooperative,70,20
S00666,A10666,C0547,Regular,6.26,0,Connected,Cooperative,18,3
S00667,A10667,C0548,Regular,4.6,6,Connected,Cooperative,41,2
S00668,A10668,C0549,None,1.38,0,Connected,Cooperative,86,1
S00669,A10669,C0550,Irregular,4.66,1,Refused,Neutral,10,10
S00670,A10670,C0550,Irregular,1.1,6,Refused,Cooperative,46,4
S00671,A10671,C0551,None,2.77,1,Connected,Distressed,53,16
S00672,A10672,C0552,Regular,5.47,1,Connected,Angry,44,11
S00673,A10673,C0553,Regular,1.55,0,Connected,Cooperative,48,20
S00674,A10674,C0554,Irregular,5.46,2,No Answer,Cooperative,26,0
S00675,A10675,C0555,Irregular,5.36,4,No Answer,Neutral,86,5
S00676,A10676,C0555,Regular,7.05,5,Connected,Angry,44,6
S00677,A10677,C0556,Regular,6.43,3,Connected,Neutral,76,6
S00678,A10678,C0557,Irregular,2.1,0,Refused,Cooperative,54,11
S00679,A10679,C0558,Regular,1.97,0,No Answer,Distressed,38,8
S00680,A10680,C0559,Irregular,9.51,5,Connected,Angry,90,12
S00681,A10681,C0560,None,1.35,6,Connected,Cooperative,34,2
S00682,A10682,C0561,None,5.47,6,Connected,Distressed,13,12
S00683,A10683,C0562,Regular,6.8,5,No Answer,Distressed,79,10
S00684,A10684,C0563,Irregular,7.69,0,No Answer,Cooperative,23,2
S00685,A10685,C0563,Regular,3.75,0,Refused,Cooperative,15,1
S00686,A10686,C0564,Regular,9.5,4,Connected,Neutral,75,18
S00687,A10687,C0564,Regular,5.24,0,Connected,Cooperative,49,6
S00688,A10688,C0565,Irregular,3.37,4,Connected,Cooperative,11,18
S00689,A10689,C0565,Irregular,5.28,3,Connected,Distressed,75,13
S00690,A10690,C0566,Irregular,8.57,0,Connected,Cooperative,50,10
S00691,A10691,C0567,None,0.91,3,Refused,Angry,90,19
S00692,A10692,C0568,Irregular,9.01,2,Connected,Angry,81,20
S00693,A10693,C0569,Irregular,1.21,6,Refused,Angry,65,15
S00694,A10694,C0570,Regular,6.58,0,Connected,Neutral,84,1
S00695,A10695,C0570,None,1.17,4,No Answer,Cooperative,81,3
S00696,A10696,C0571,None,4.42,5,No Answer,Angry,80,5
S00697,A10697,C0571,Regular,5.49,5,Connected,Cooperative,19,14
S00698,A10698,C0572,Irregular,9.47,1,No Answer,Neutral,15,13
S00699,A10699,C0573,Irregular,4.5,0,Refused,Angry,17,17
S00700,A10700,C0574,None,6.54,3,Connected,Distressed,75,3
S00701,A10701,C0575,Irregular,4.85,2,Connected,Cooperative,97,19
S00702,A10702,C0576,Irregular,3.64,2,Refused,Angry,51,19
S00703,A10703,C0576,Irregular,9.12,5,Refused,Neutral,72,14
S00704,A10704,C0577,Regular,3.2,3,Refused,Distressed,82,9
S00705,A10705,C0578,Regular,5.13,0,Connected,Cooperative,78,6
S00706,A10706,C0579,Regular,8.14,0,Refused,Distressed,44,19
S00707,A10707,C0579,Regular,6.53,6,Connected,Neutral,34,15
S00708,A10708,C0580,Regular,2.72,5,Refused,Cooperative,20,20
S00709,A10709,C0581,Irregular,7.27,5,Refused,Distressed,42,20
S00710,A10710,C0582,Regular,4.82,1,No Answer,Cooperative,19,14
S00711,A10711,C0583,Irregular,9.79,1,Connected,Cooperative,12,1
S00712,A10712,C0584,Regular,3.5,2,No Answer,Neutral,14,6
S00713,A10713,C0585,None,3.99,1,Connected,Neutral,86,20
S00714,A10714,C0586,Regular,0.99,0,Connected,Neutral,78,6
S00715,A10715,C0587,None,5.57,1,Connected,Angry,87,18
S00716,A10716,C0587,Irregular,5.13,2,No Answer,Neutral,34,16
S00717,A10717,C0588,Regular,8.84,2,Connected,Cooperative,43,6
S00718,A10718,C0588,Irregular,4.43,6,Connected,Cooperative,67,19
S00719,A10719,C0589,None,2.78,4,Refused,Cooperative,45,11
S00720,A10720,C0589,Irregular,2.26,5,No Answer,Angry,90,9
S00721,A10721,C0590,None,3.18,1,Refused,Angry,65,12
S00722,A10722,C0591,None,4.14,1,Connected,Distressed,75,20
S00723,A10723,C0592,Regular,5.49,2,Connected,Cooperative,98,19
S00724,A10724,C0593,Regular,4.68,0,Connected,Angry,85,4
S00725,A10725,C0594,Irregular,6.24,1,Refused,Neutral,11,13
S00726,A10726,C0594,Irregular,4.91,5,Connected,Distressed,65,12
S00727,A10727,C0595,None,7.98,6,Connected,Neutral,44,14
S00728,A10728,C0596,Irregular,3.14,1,No Answer,Cooperative,36,8
S00729,A10729,C0597,Regular,8.68,3,Refused,Distressed,75,19
S00730,A10730,C0598,Regular,6.84,5,No Answer,Neutral,21,13
S00731,A10731,C0599,Regular,8.52,4,Refused,Distressed,53,2
S00732,A10732,C0600,Irregular,4.0,1,No Answer,Angry,27,14
S00733,A10733,C0601,Regular,9.52,2,Connected,Angry,72,0
S00734,A10734,C0602,None,6.28,3,No Answer,Distressed,28,12
S00735,A10735,C0603,Regular,1.66,0,Connected,Neutral,40,18
S00736,A10736,C0603,None,3.9,2,Connected,Neutral,12,11
S00737,A10737,C0604,Irregular,9.71,1,Refused,Angry,40,7
S00738,A10738,C0604,Regular,6.19,6,Connected,Angry,73,19
S00739,A10739,C0605,Regular,6.19,4,Refused,Angry,64,3
S00740,A10740,C0606,Irregular,2.9,5,No Answer,Angry,18,10
S00741,A10741,C0606,Regular,8.57,1,Refused,Neutral,45,5
S00742,A10742,C0607,Irregular,1.56,0,Connected,Cooperative,67,17
S00743,A10743,C0608,Irregular,5.88,3,Connected,Neutral,15,1
S00744,A10744,C0609,None,3.92,3,Connected,Cooperative,48,13
S00745,A10745,C0610,Irregular,8.55,2,Connected,Neutral,31,3
S00746,A10746,C0610,Regular,8.69,5,Refused,Distressed,85,15
S00747,A10747,C0611,None,6.42,4,Refused,Cooperative,81,7
S00748,A10748,C0612,Irregular,4.55,4,Connected,Neutral,51,2
S00749,A10749,C0613,Regular,6.74,5,No Answer,Neutral,33,18
S00750,A10750,C0613,Regular,8.04,5,No Answer,Neutral,27,11
S00751,A10751,C0614,Irregular,9.89,3,No Answer,Angry,15,18
S00752,A10752,C0614,Irregular,8.61,1,Connected,Angry,62,12
S00753,A10753,C0615,Irregular,8.53,0,No Answer,Neutral,13,11
S00754,A10754,C0615,Regular,6.37,6,Connected,Cooperative,25,10
S00755,A10755,C0616,None,2.53,0,Connected,Cooperative,84,17
S00756,A10756,C0616,None,8.67,3,Connected,Cooperative,82,9
S00757,A10757,C0617,None,4.85,4,Connected,Neutral,75,17
S00758,A10758,C0618,Irregular,1.1,3,No Answer,Distressed,58,15
S00759,A10759,C0619,Irregular,7.05,3,Connected,Cooperative,37,3
S00760,A10760,C0619,Irregular,8.16,2,No Answer,Cooperative,83,7
S00761,A10761,C0620,None,1.33,3,Connected,Neutral,63,15
S00762,A10762,C0620,Regular,7.91,3,Connected,Angry,53,1
S00763,A10763,C0621,Regular,6.16,2,Refused,Cooperative,90,8
S00764,A10764,C0622,None,7.11,0,No Answer,Cooperative,92,0
S00765,A10765,C0622,Irregular,7.27,1,No Answer,Angry,53,8
S00766,A10766,C0623,Regular,5.45,4,Refused,Distressed,89,13
S00767,A10767,C0624,Irregular,3.47,3,No Answer,Angry,28,10
S00768,A10768,C0625,None,5.52,6,Refused,Cooperative,97,7
S00769,A10769,C0626,None,5.21,4,Connected,Neutral,45,1
S00770,A10770,C0627,Regular,4.18,6,Connected,Cooperative,46,10
S00771,A10771,C0627,Regular,5.52,0,Connected,Neutral,35,10
S00772,A10772,C0628,Regular,0.53,6,Refused,Neutral,16,17
S00773,A10773,C0628,None,2.85,4,Refused,Neutral,93,13
S00774,A10774,C0629,None,7.29,6,Connected,Neutral,19,18
S00775,A10775,C0630,Irregular,5.96,2,Connected,Neutral,93,3
S00776,A10776,C0631,Irregular,2.04,5,No Answer,Neutral,70,8
S00777,A10777,C0632,None,6.89,0,No Answer,Angry,23,2
S00778,A10778,C0632,Regular,2.63,2,Refused,Neutral,54,0
S00779,A10779,C0633,Irregular,7.55,6,Refused,Neutral,98,4
S00780,A10780,C0634,Irregular,7.0,0,No Answer,Angry,13,13
S00781,A10781,C0635,None,3.5,1,No Answer,Neutral,44,15
S00782,A10782,C0635,Regular,4.22,5,No Answer,Neutral,91,17
