offer_id,payment_started_flag,payment_completed_flag,default_stage,time_to_default_days,net_amount_collected,write_off_amount,completion_timestamp
O50589,No,No,Early,28,0,332952,
O50590,Yes,Yes,None,0,24205,18533,2026-03-01
O50591,No,No,Early,26,0,42738,
O50592,Yes,Yes,None,0,50683,36259,2026-03-11
O50593,No,No,Early,35,0,86942,
O50594,No,No,Early,30,0,280332,
O50595,No,No,Early,35,0,280332,
O50596,No,No,Early,33,0,356466,
O50597,No,No,Early,30,0,315889,
O50598,No,No,Early,23,0,223920,
O50599,No,No,Early,27,0,293491,
O50600,No,No,Early,40,0,293491,
O50601,No,No,Early,19,0,17994,
O50602,Yes,No,Mid,38,27235,168059,
O50603,Yes,Yes,None,0,94959,100335,2026-01-08
O50604,Yes,Yes,None,0,149968,104222,2026-01-01
O50605,Yes,Yes,None,0,102352,151838,2026-01-31
O50606,Yes,Yes,None,0,258522,215952,2026-01-22
O50607,Yes,Yes,None,0,259845,214629,2026-01-02
O50608,Yes,Yes,None,0,173883,150208,2026-01-16
O50609,No,No,Early,21,0,324091,
O50610,No,No,Early,33,0,168868,
O50611,Yes,Yes,None,0,69720,99148,2026-03-01
O50612,No,No,Early,25,0,465973,
O50613,No,No,Early,30,0,465973,
O50614,Yes,Yes,None,0,77509,75403,2026-02-18
O50615,Yes,Yes,None,0,296307,165859,2026-02-25
O50616,No,No,Early,33,0,417611,
O50617,Yes,Yes,None,0,139639,175099,2026-03-06
O50618,Yes,No,Mid,66,16328,79868,
O50619,Yes,No,Mid,85,5901,16373,
O50620,No,No,Early,21,0,22274,
O50621,Yes,Yes,None,0,97976,123113,2026-02-03
O50622,Yes,Yes,None,0,256783,177271,2026-03-22
O50623,No,No,Early,41,0,434054,
O50624,Yes,No,Mid,50,11132,52675,
O50625,No,No,Early,34,0,63807,
O50626,Yes,Yes,None,0,13896,18101,2026-01-23
O50627,No,No,Early,28,0,31997,
O50628,No,No,Early,32,0,223467,
O50629,Yes,No,Mid,63,120449,289520,
O50630,Yes,Yes,None,0,268815,141154,2026-03-04
O50631,Yes,No,Mid,34,75996,212665,
O50632,Yes,Yes,None,0,57242,27968,2026-01-17
O50633,No,No,Early,25,0,451697,
O50634,Yes,Yes,None,0,284576,167121,2026-01-20
O50635,No,No,Early,33,0,304884,
O50636,No,No,Early,17,0,173987,
O50637,Yes,Yes,None,0,47480,36826,2026-01-16
O50638,Yes,Yes,None,0,51212,33094,2026-01-06
O50639,No,No,Early,27,0,323509,
O50640,Yes,No,Mid,44,97657,233748,
O50641,Yes,Yes,None,0,220180,111225,2026-03-07
O50642,Yes,Yes,None,0,223827,211739,2026-02-28
O50643,Yes,Yes,None,0,219296,145177,2026-01-06
O50644,Yes,No,Mid,86,70833,180030,
O50645,Yes,No,Mid,69,30730,185765,
O50646,No,No,Early,35,0,95781,
O50647,Yes,No,Mid,69,23873,71908,
O50648,No,No,Early,16,0,203873,
O50649,No,No,Early,33,0,45921,
O50650,Yes,Yes,None,0,217932,221794,2026-01-11
O50651,Yes,Yes,None,0,300933,138793,2026-03-26
O50652,Yes,Yes,None,0,208576,124881,2026-03-02
O50653,Yes,No,Mid,50,43167,216659,
O50654,No,No,Early,15,0,149273,
O50655,Yes,Yes,None,0,83482,120209,2026-02-26
O50656,Yes,Yes,None,0,81229,40813,2026-02-02
O50657,No,No,Early,21,0,122042,
O50658,Yes,Yes,None,0,275079,119569,2026-01-13
O50659,Yes,Yes,None,0,257660,136988,2026-02-23
O50660,No,No,Early,20,0,309957,
O50661,Yes,Yes,None,0,145476,164481,2026-01-28
O50662,No,No,Early,16,0,23831,
O50663,Yes,No,Mid,40,48919,290413,
O50664,Yes,Yes,None,0,233079,106253,2026-02-06
O50665,Yes,Yes,None,0,208568,119531,2026-03-09
O50666,Yes,No,Mid,51,16045,42217,
O50667,No,No,Early,23,0,58262,
O50668,No,No,Early,35,0,183767,
O50669,No,No,Early,27,0,166083,
O50670,Yes,Yes,None,0,233050,215160,2026-03-08
O50671,Yes,Yes,None,0,290398,157812,2026-01-04
O50672,No,No,Early,25,0,31738,
O50673,Yes,No,Mid,46,36927,159423,
O50674,Yes,Yes,None,0,107283,89067,2026-01-02
O50675,Yes,No,Mid,63,55217,368778,
O50676,No,No,Early,23,0,423995,
O50677,Yes,Yes,None,0,92492,47601,2026-03-26
O50678,No,No,Early,23,0,145509,
O50679,Yes,No,Mid,36,8539,28468,
O50680,Yes,Yes,None,0,68354,72447,2026-01-10
O50681,Yes,Yes,None,0,12342,12045,2026-03-06
O50682,Yes,Yes,None,0,14141,10246,2026-02-26
O50683,Yes,Yes,None,0,19819,13421,2026-03-03
O50684,No,No,Early,18,0,280790,
O50685,No,No,Early,15,0,280790,
O50686,No,No,Early,16,0,435505,
O50687,Yes,No,Mid,39,48727,131641,
O50688,No,No,Early,24,0,149476,
O50689,Yes,Yes,None,0,215457,176589,2026-03-12
O50690,Yes,Yes,None,0,191485,128807,2026-03-14
O50691,Yes,Yes,None,0,66540,41403,2026-03-29
O50692,No,No,Early,24,0,107943,
O50693,No,No,Early,29,0,164748,
O50694,Yes,Yes,None,0,136867,134596,2026-02-13
O50695,No,No,Early,38,0,271463,
O50696,Yes,Yes,None,0,301267,131894,2026-03-05
O50697,Yes,No,Mid,35,82874,243065,
O50698,No,No,Early,15,0,325939,
O50699,Yes,Yes,None,0,137242,63868,2026-02-03
O50700,No,No,Early,18,0,201110,
O50701,Yes,Yes,None,0,148438,146974,2026-01-17
O50702,No,No,Early,36,0,379929,
O50703,Yes,Yes,None,0,181238,221130,2026-02-09
O50704,Yes,Yes,None,0,176710,225658,2026-03-19
O50705,Yes,Yes,None,0,109533,128167,2026-02-21
O50706,Yes,Yes,None,0,140736,96964,2026-02-27
O50707,Yes,No,Mid,80,113618,298286,
O50708,No,No,Early,28,0,411904,
O50709,No,No,Early,24,0,117339,
O50710,Yes,No,Mid,86,13204,90819,
O50711,No,No,Early,18,0,220719,
O50712,Yes,Yes,None,0,149954,70765,2026-01-05
O50713,No,No,Early,37,0,446262,
O50714,Yes,Yes,None,0,68106,56763,2026-02-10
O50715,No,No,Early,22,0,348447,
O50716,No,No,Early,34,0,348447,
O50717,Yes,No,Mid,58,141703,334064,
O50718,No,No,Early,38,0,70904,
O50719,Yes,No,Mid,49,32907,217940,
O50720,Yes,No,Mid,46,37791,327595,
O50721,No,No,Early,41,0,167481,
O50722,No,No,Early,30,0,259437,
O50723,Yes,Yes,None,0,178821,80616,2026-02-24
O50724,Yes,Yes,None,0,242466,193128,2026-01-11
O50725,No,No,Early,24,0,338854,
O50726,Yes,No,Mid,89,79779,259075,
O50727,No,No,Early,42,0,186955,
O50728,No,No,Early,34,0,230888,
O50729,No,No,Early,34,0,408238,
O50730,No,No,Early,27,0,408238,
O50731,No,No,Early,29,0,36825,
O50732,Yes,Yes,None,0,63967,60400,2026-03-18
O50733,No,No,Early,22,0,415966,
O50734,Yes,No,Mid,64,12371,63715,
O50735,Yes,Yes,None,0,29168,27935,2026-01-07
O50736,Yes,No,Mid,62,30028,125660,
O50737,No,No,Early,22,0,155688,
O50738,No,No,Early,44,0,356376,
O50739,Yes,No,Mid,82,39048,319085,
O50740,No,No,Early,31,0,358133,
O50741,No,No,Early,23,0,54369,
O50742,Yes,No,Mid,52,36622,106523,
O50743,No,No,Early,38,0,359660,
O50744,No,No,Early,27,0,359660,
O50745,Yes,Yes,None,0,9765,7866,2026-02-14
O50746,Yes,Yes,None,0,221687,114658,2026-03-19
O50747,No,No,Early,28,0,336345,
O50748,No,No,Early,25,0,43004,
O50749,Yes,Yes,None,0,288481,172683,2026-02-10
O50750,Yes,Yes,None,0,81869,88549,2026-02-25
O50751,Yes,Yes,None,0,113271,57147,2026-03-08
O50752,No,No,Early,36,0,278369,
O50753,Yes,Yes,None,0,184941,93428,2026-01-22
O50754,Yes,Yes,None,0,112881,61666,2026-03-14
O50755,No,No,Early,19,0,174547,
O50756,Yes,Yes,None,0,190537,148062,2026-01-16
O50757,Yes,Yes,None,0,121082,77659,2026-01-13
O50758,No,No,Early,22,0,185458,
O50759,Yes,No,Mid,72,19625,165833,
O50760,Yes,Yes,None,0,204835,235533,2026-01-06
O50761,Yes,No,Mid,30,82425,224747,
O50762,Yes,No,Mid,84,55796,305586,
O50763,Yes,Yes,None,0,202931,158451,2026-03-23
O50764,Yes,Yes,None,0,143219,109859,2026-03-04
O50765,Yes,Yes,None,0,216217,201952,2026-02-27
O50766,No,No,Early,32,0,19454,
O50767,Yes,No,Mid,30,2759,16695,
O50768,Yes,Yes,None,0,285266,144280,2026-03-06
O50769,Yes,Yes,None,0,236810,181227,2026-02-09
O50770,No,No,Early,34,0,367323,
O50771,No,No,Early,18,0,367323,
O50772,No,No,Early,15,0,125373,
O50773,Yes,No,Mid,87,96152,373019,
O50774,No,No,Early,24,0,469171,
O50775,Yes,No,Mid,43,43171,310559,
O50776,No,No,Early,28,0,431981,
O50777,Yes,Yes,None,0,217560,214421,2026-01-09
O50778,No,No,Early,42,0,86540,
O50779,Yes,Yes,None,0,55043,31497,2026-01-16
O50780,Yes,No,Mid,36,22412,147948,
O50781,Yes,No,Mid,34,116611,329535,
O50782,No,No,Early,22,0,46276,
O50783,Yes,Yes,None,0,22453,23823,2026-01-16
O50784,Yes,Yes,None,0,318677,152352,2026-02-01
O50785,No,No,Early,22,0,471029,
O50786,No,No,Early,40,0,197394,
O50787,No,No,Early,26,0,82471,
O50788,Yes,Yes,None,0,228619,177978,2026-01-09
O50789,No,No,Early,20,0,356324,
O50790,No,No,Early,44,0,320319,
O50791,Yes,No,Mid,49,88787,352498,
O50792,Yes,Yes,None,0,212113,229172,2026-01-09
O50793,No,No,Early,17,0,396688,
O50794,No,No,Early,20,0,447331,
O50795,No,No,Early,44,0,194022,
O50796,No,No,Early,25,0,349152,
O50797,No,No,Early,43,0,478694,
O50798,No,No,Early,27,0,478694,
O50799,Yes,Yes,None,0,136419,140751,2026-02-04
O50800,Yes,Yes,None,0,76503,97254,2026-02-22
O50801,Yes,No,Mid,63,123889,320312,
O50802,No,No,Early,38,0,384556,
O50803,No,No,Early,37,0,384556,
O50804,No,No,Early,19,0,245755,
O50805,Yes,Yes,None,0,58409,77837,2026-02-08
O50806,Yes,Yes,None,0,64762,71484,2026-03-19
O50807,No,No,Early,19,0,24665,
O50808,No,No,Early,22,0,24665,
O50809,Yes,No,Mid,71,52123,189228,
O50810,No,No,Early,37,0,241351,
O50811,Yes,No,Mid,82,30563,76122,
O50812,No,No,Early,16,0,40301,
O50813,No,No,Early,35,0,20452,
O50814,Yes,Yes,None,0,280797,184854,2026-01-13
O50815,Yes,Yes,None,0,188840,276811,2026-01-25
O50816,No,No,Early,22,0,423275,
O50817,No,No,Early,37,0,119132,
O50818,Yes,Yes,None,0,51328,67804,2026-02-24
O50819,Yes,Yes,None,0,235812,234661,2026-02-05
O50820,No,No,Early,30,0,122154,
O50821,No,No,Early,35,0,122154,
O50822,No,No,Early,24,0,153939,
O50823,Yes,Yes,None,0,66812,87127,2026-03-27
O50824,No,No,Early,22,0,263577,
O50825,Yes,No,Mid,48,72550,186188,
O50826,No,No,Early,29,0,258738,
O50827,Yes,No,Mid,38,19727,70478,
O50828,Yes,Yes,None,0,50338,39867,2026-01-08
O50829,No,No,Early,26,0,459049,
O50830,Yes,Yes,None,0,205552,253497,2026-02-06
O50831,Yes,Yes,None,0,121748,66107,2026-03-03
O50832,Yes,No,Mid,42,50199,201392,
O50833,No,No,Early,29,0,251591,
O50834,No,No,Early,31,0,256496,
O50835,No,No,Early,39,0,57176,
O50836,Yes,Yes,None,0,243721,183509,2026-02-24
O50837,Yes,Yes,None,0,296223,131007,2026-03-22
O50838,Yes,Yes,None,0,230079,176652,2026-02-26
O50839,No,No,Early,27,0,406731,
O50840,Yes,Yes,None,0,150754,171804,2026-03-09
O50841,Yes,Yes,None,0,220397,102161,2026-01-19
O50842,Yes,Yes,None,0,140637,92248,2026-03-12
O50843,Yes,No,Mid,31,8398,23177,
O50844,Yes,Yes,None,0,17173,14402,2026-01-11
O50845,No,No,Early,18,0,41863,
O50846,Yes,No,Mid,66,12299,29564,
O50847,No,No,Early,15,0,424420,
O50848,No,No,Early,23,0,102725,
O50849,Yes,Yes,None,0,54791,47934,2026-02-15
O50850,Yes,No,Mid,39,39201,118891,
O50851,Yes,Yes,None,0,67731,52980,2026-03-26
O50852,No,No,Early,39,0,120711,
O50853,No,No,Early,41,0,451531,
O50854,No,No,Early,23,0,361228,
O50855,Yes,Yes,None,0,22610,15787,2026-01-31
O50856,No,No,Early,37,0,38397,
O50857,No,No,Early,44,0,260620,
O50858,Yes,Yes,None,0,90581,48544,2026-03-29
O50859,No,No,Early,25,0,31772,
O50860,No,No,Early,23,0,31772,
O50861,No,No,Early,21,0,16301,
O50862,Yes,Yes,None,0,32120,15615,2026-02-23
O50863,No,No,Early,39,0,273946,
O50864,No,No,Early,19,0,273946,
O50865,Yes,No,Mid,77,14097,34842,
O50866,No,No,Early,42,0,48939,
O50867,Yes,Yes,None,0,261011,199074,2026-03-05
O50868,Yes,Yes,None,0,298326,161759,2026-03-15
O50869,Yes,Yes,None,0,211309,94397,2026-02-27
O50870,Yes,Yes,None,0,15086,12558,2026-01-15
O50871,Yes,Yes,None,0,13041,14603,2026-01-25
O50872,Yes,Yes,None,0,157171,137718,2026-02-06
O50873,No,No,Early,42,0,152392,
O50874,Yes,Yes,None,0,95391,57001,2026-02-08
O50875,Yes,Yes,None,0,166426,136445,2026-02-03
O50876,Yes,No,Mid,82,79735,223136,
O50877,No,No,Early,36,0,238830,
O50878,No,No,Early,31,0,74739,
O50879,No,No,Early,18,0,74739,
O50880,Yes,Yes,None,0,139623,116725,2026-01-22
O50881,No,No,Early,38,0,256348,
O50882,No,No,Early,40,0,434389,
O50883,Yes,No,Mid,46,69232,365157,
O50884,Yes,Yes,None,0,69772,55779,2026-03-31
O50885,No,No,Early,37,0,378284,
O50886,Yes,Yes,None,0,113159,103171,2026-01-23
O50887,Yes,No,Mid,60,43817,172513,
O50888,Yes,No,Mid,77,58285,373565,
O50889,Yes,No,Mid,77,85494,281259,
O50890,Yes,Yes,None,0,210450,156303,2026-01-14
O50891,Yes,No,Mid,74,113411,327326,
O50892,Yes,Yes,None,0,55077,63459,2026-01-21
O50893,No,No,Early,41,0,118536,
O50894,Yes,Yes,None,0,96084,51588,2026-01-04
O50895,No,No,Early,33,0,147672,
O50896,Yes,No,Mid,37,5045,24462,
O50897,No,No,Early,36,0,81600,
O50898,No,No,Early,33,0,81600,
O50899,Yes,No,Mid,43,41232,164102,
O50900,Yes,Yes,None,0,135258,70076,2026-03-03
O50901,Yes,Yes,None,0,200590,187270,2026-02-26
O50902,No,No,Early,27,0,387860,
O50903,Yes,Yes,None,0,88432,57240,2026-02-18
O50904,Yes,No,Mid,79,7708,63298,
O50905,No,No,Early,31,0,280251,
O50906,Yes,Yes,None,0,26767,34454,2026-02-20
O50907,No,No,Early,42,0,296667,
O50908,No,No,Early,37,0,296667,
O50909,No,No,Early,22,0,289843,
O50910,No,No,Early,31,0,167215,
O50911,Yes,Yes,None,0,189471,178219,2026-02-16
O50912,Yes,No,Mid,48,93703,273987,
O50913,Yes,No,Mid,39,52592,235359,
O50914,Yes,Yes,None,0,164568,236566,2026-01-19
O50915,No,No,Early,38,0,307338,
O50916,Yes,Yes,None,0,43204,45976,2026-03-11
O50917,Yes,Yes,None,0,307366,143035,2026-02-08
O50918,Yes,Yes,None,0,170786,230444,2026-01-09
O50919,No,No,Early,21,0,401230,
O50920,No,No,Early,26,0,121734,
O50921,No,No,Early,17,0,263751,
O50922,No,No,Early,34,0,263751,
O50923,No,No,Early,23,0,331379,
O50924,Yes,Yes,None,0,28935,39598,2026-02-22
O50925,Yes,Yes,None,0,165738,82105,2026-03-24
O50926,Yes,Yes,None,0,123762,124081,2026-03-02
O50927,No,No,Early,16,0,30582,
O50928,Yes,Yes,None,0,167025,248131,2026-01-08
O50929,No,No,Early,20,0,433660,
O50930,No,No,Early,26,0,145011,
O50931,No,No,Early,42,0,145011,
O50932,Yes,Yes,None,0,144072,141568,2026-01-18
O50933,Yes,Yes,None,0,78762,53493,2026-01-14
O50934,No,No,Early,16,0,292941,
O50935,Yes,Yes,None,0,97533,75537,2026-03-03
O50936,Yes,Yes,None,0,97836,75234,2026-03-11
O50937,Yes,Yes,None,0,250323,116268,2026-03-10
O50938,No,No,Early,21,0,438574,
O50939,No,No,Early,21,0,438574,
O50940,Yes,No,Mid,49,57419,290224,
O50941,No,No,Early,29,0,373998,
O50942,Yes,Yes,None,0,224746,149252,2026-02-19
O50943,No,No,Early,34,0,159318,
O50944,No,No,Early,43,0,383225,
O50945,Yes,Yes,None,0,240503,158909,2026-02-22
O50946,No,No,Early,36,0,360242,
O50947,Yes,No,Mid,37,102382,257860,
O50948,No,No,Early,37,0,319136,
O50949,No,No,Early,28,0,330387,
O50950,Yes,Yes,None,0,138467,203011,2026-01-02
O50951,No,No,Early,24,0,29633,
O50952,No,No,Early,36,0,186713,
O50953,Yes,Yes,None,0,88680,98033,2026-02-16
O50954,No,No,Early,25,0,413077,
O50955,Yes,Yes,None,0,227506,185571,2026-03-09
O50956,Yes,Yes,None,0,222482,221305,2026-01-10
O50957,Yes,Yes,None,0,285488,132473,2026-03-08
O50958,Yes,No,Mid,48,84634,231431,
O50959,Yes,Yes,None,0,144372,161286,2026-02-02
O50960,No,No,Early,37,0,305658,
O50961,No,No,Early,29,0,253198,
O50962,No,No,Early,15,0,253198,
O50963,Yes,No,Mid,49,53581,165148,
O50964,Yes,No,Mid,34,15974,129462,
O50965,No,No,Early,40,0,356468,
O50966,No,No,Early,21,0,356468,
O50967,Yes,Yes,None,0,209803,157368,2026-03-10
O50968,No,No,Early,39,0,437870,
O50969,Yes,Yes,None,0,263618,174252,2026-02-11
O50970,No,No,Early,35,0,379236,
O50971,No,No,Early,20,0,350988,
O50972,No,No,Early,38,0,51660,
O50973,No,No,Early,29,0,51660,
O50974,Yes,No,Mid,41,81512,223599,
O50975,No,No,Early,28,0,372941,
O50976,Yes,Yes,None,0,209195,163746,2026-01-19
O50977,Yes,Yes,None,0,118491,55338,2026-02-21
O50978,Yes,Yes,None,0,114766,141686,2026-01-18
O50979,Yes,Yes,None,0,259925,134638,2026-03-24
O50980,No,No,Early,15,0,394563,
O50981,No,No,Early,25,0,303363,
O50982,No,No,Early,40,0,371211,
O50983,No,No,Early,35,0,78910,
O50984,Yes,Yes,None,0,234639,117405,2026-02-15
O50985,No,No,Early,31,0,313030,
O50986,No,No,Early,43,0,313030,
O50987,No,No,Early,22,0,293456,
O50988,No,No,Early,44,0,293456,
O50989,Yes,Yes,None,0,153387,116830,2026-02-16
O50990,No,No,Early,27,0,58888,
O50991,Yes,No,Mid,54,53175,255637,
O50992,Yes,No,Mid,50,72637,405808,
O50993,No,No,Early,36,0,478445,
O50994,Yes,No,Mid,62,79049,373041,
O50995,No,No,Early,29,0,208175,
O50996,Yes,Yes,None,0,132816,75359,2026-03-16
O50997,No,No,Early,19,0,475777,
O50998,No,No,Early,38,0,475777,
O50999,No,No,Early,21,0,216657,
O51000,No,No,Early,22,0,81008,
O51001,Yes,No,Mid,69,59812,147984,
O51002,No,No,Early,42,0,207796,
O51003,Yes,Yes,None,0,230889,213480,2026-03-13
O51004,No,No,Early,20,0,300672,
O51005,Yes,No,Mid,39,28095,103680,
O51006,Yes,Yes,None,0,79709,52066,2026-03-10
O51007,Yes,Yes,None,0,221193,181050,2026-01-26
O51008,Yes,No,Mid,65,85490,316753,
O51009,Yes,Yes,None,0,59493,36027,2026-02-23
O51010,No,No,Early,17,0,321505,
O51011,No,No,Early,41,0,300539,
O51012,No,No,Early,33,0,260340,
O51013,Yes,Yes,None,0,84208,38300,2026-02-24
O51014,Yes,No,Mid,65,71881,253665,
O51015,No,No,Early,33,0,397784,
O51016,No,No,Early,20,0,64456,
O51017,No,No,Early,42,0,59158,
O51018,Yes,Yes,None,0,41933,60434,2026-01-09
O51019,Yes,No,Mid,78,7978,22012,
O51020,Yes,Yes,None,0,80534,52248,2026-03-08
O51021,Yes,Yes,None,0,86257,46525,2026-03-12
O51022,Yes,Yes,None,0,218605,127322,2026-03-25
O51023,No,No,Early,20,0,345927,
O51024,Yes,Yes,None,0,10876,11132,2026-02-14
O51025,Yes,Yes,None,0,275009,188164,2026-02-07
O51026,Yes,Yes,None,0,101604,48942,2026-01-24
O51027,Yes,Yes,None,0,69532,45739,2026-02-22
O51028,Yes,No,Mid,62,27271,88000,
O51029,Yes,No,Mid,53,39212,182611,
O51030,Yes,Yes,None,0,197773,100369,2026-01-03
O51031,No,No,Early,33,0,226278,
O51032,Yes,Yes,None,0,91882,134396,2026-02-04
O51033,No,No,Early,31,0,71959,
O51034,No,No,Early,24,0,71959,
O51035,No,No,Early,43,0,456413,
O51036,Yes,Yes,None,0,203517,131887,2026-02-02
O51037,No,No,Early,39,0,179238,
O51038,Yes,Yes,None,0,156240,136552,2026-02-16
O51039,No,No,Early,34,0,292792,
O51040,Yes,No,Mid,65,44423,188449,
O51041,Yes,No,Mid,75,27198,205674,
O51042,Yes,No,Mid,33,9001,57939,
O51043,No,No,Early,25,0,66940,
O51044,Yes,Yes,None,0,132974,68597,2026-02-19
O51045,No,No,Early,16,0,394606,
O51046,Yes,Yes,None,0,8771,12883,2026-01-30
O51047,No,No,Early,33,0,21654,
O51048,Yes,Yes,None,0,73544,54570,2026-03-02
O51049,No,No,Early,42,0,148407,
O51050,Yes,Yes,None,0,82279,53144,2026-03-11
O51051,No,No,Early,27,0,282913,
O51052,Yes,Yes,None,0,154538,128375,2026-01-19
O51053,Yes,Yes,None,0,114820,109143,2026-01-10
O51054,No,No,Early,42,0,337142,
O51055,No,No,Early,37,0,83040,
O51056,Yes,Yes,None,0,127803,83551,2026-02-03
O51057,No,No,Early,28,0,48542,
O51058,No,No,Early,37,0,343614,
O51059,Yes,Yes,None,0,166136,177478,2026-01-06
O51060,Yes,Yes,None,0,215058,105700,2026-03-10
O51061,Yes,Yes,None,0,126466,63744,2026-02-23
O51062,Yes,Yes,None,0,125583,64627,2026-01-28
O51063,No,No,Early,34,0,321701,
O51064,Yes,Yes,None,0,168515,187392,2026-02-23
O51065,No,No,Early,32,0,421817,
O51066,Yes,Yes,None,0,184651,237166,2026-01-06
O51067,No,No,Early,17,0,318874,
O51068,Yes,Yes,None,0,61564,60873,2026-01-09
O51069,No,No,Early,38,0,390233,
O51070,Yes,Yes,None,0,137938,188235,2026-02-27
O51071,Yes,Yes,None,0,178263,147910,2026-03-24
O51072,No,No,Early,38,0,377301,
O51073,Yes,Yes,None,0,209752,217404,2026-03-31
O51074,Yes,Yes,None,0,251569,167120,2026-03-22
O51075,No,No,Early,36,0,418689,
O51076,No,No,Early,41,0,31148,
O51077,Yes,No,Mid,64,5609,25539,
O51078,No,No,Early,40,0,183276,
O51079,Yes,No,Mid,58,26601,156675,
O51080,Yes,Yes,None,0,36481,32910,2026-02-11
O51081,No,No,Early,18,0,69391,
O51082,Yes,Yes,None,0,153886,134412,2026-01-08
O51083,Yes,Yes,None,0,157261,131037,2026-02-27
O51084,Yes,Yes,None,0,151505,165130,2026-01-11
O51085,No,No,Early,43,0,316635,
O51086,No,No,Early,42,0,226588,
O51087,No,No,Early,36,0,48087,
O51088,Yes,Yes,None,0,75385,37414,2026-02-22
O51089,No,No,Early,35,0,430659,
O51090,Yes,Yes,None,0,53778,64964,2026-02-14
O51091,No,No,Early,24,0,118742,
O51092,Yes,Yes,None,0,142418,114628,2026-03-29
O51093,No,No,Early,28,0,143544,
O51094,Yes,Yes,None,0,77634,88609,2026-02-25
O51095,No,No,Early,34,0,166243,
O51096,Yes,Yes,None,0,199378,169506,2026-03-14
O51097,No,No,Early,21,0,62728,
O51098,Yes,No,Mid,62,21528,65113,
O51099,Yes,No,Mid,37,24452,62189,
O51100,No,No,Early,33,0,348296,
O51101,No,No,Early,24,0,185307,
O51102,Yes,Yes,None,0,57270,38394,2026-02-10
O51103,Yes,Yes,None,0,36220,36948,2026-01-09
O51104,Yes,No,Mid,73,18877,54291,
O51105,Yes,Yes,None,0,192067,91736,2026-01-31
O51106,No,No,Early,30,0,354403,
O51107,No,No,Early,41,0,215798,
O51108,Yes,Yes,None,0,144260,163971,2026-01-12
O51109,No,No,Early,26,0,308231,
O51110,No,No,Early,20,0,359162,
O51111,Yes,Yes,None,0,183911,175251,2026-01-04
O51112,Yes,Yes,None,0,260226,189222,2026-02-13
O51113,Yes,Yes,None,0,103327,98468,2026-01-16
O51114,Yes,No,Mid,43,22190,89879,
O51115,Yes,Yes,None,0,65015,47054,2026-01-10
O51116,No,No,Early,43,0,282800,
O51117,No,No,Early,35,0,479604,
O51118,Yes,Yes,None,0,82258,72231,2026-03-31
O51119,No,No,Early,22,0,425554,
O51120,No,No,Early,44,0,425554,
O51121,No,No,Early,27,0,63838,
O51122,Yes,Yes,None,0,113194,145409,2026-01-24
O51123,No,No,Early,17,0,258603,
O51124,No,No,Early,27,0,309887,
O51125,Yes,No,Mid,48,30617,143812,
O51126,Yes,Yes,None,0,110907,63522,2026-01-21
O51127,No,No,Early,39,0,326095,
O51128,Yes,No,Mid,68,51126,209069,
O51129,Yes,Yes,None,0,166886,76584,2026-01-23
O51130,Yes,No,Mid,77,40258,203212,
O51131,No,No,Early,19,0,103075,
O51132,No,No,Early,29,0,404168,
O51133,Yes,Yes,None,0,76939,58545,2026-01-20
O51134,No,No,Early,39,0,477552,
O51135,Yes,Yes,None,0,91321,53080,2026-01-27
O51136,Yes,Yes,None,0,83940,124261,2026-02-18
O51137,Yes,Yes,None,0,68679,61617,2026-01-18
O51138,Yes,Yes,None,0,83791,96702,2026-01-08
O51139,Yes,Yes,None,0,125216,55277,2026-02-15
O51140,No,No,Early,44,0,160468,
O51141,Yes,Yes,None,0,79718,80750,2026-02-16
O51142,No,No,Early,29,0,207206,
O51143,Yes,Yes,None,0,101860,96461,2026-03-04
O51144,Yes,No,Mid,65,74666,189574,
O51145,No,No,Early,37,0,130637,
O51146,Yes,Yes,None,0,131678,91102,2026-02-12
O51147,Yes,Yes,None,0,118123,104657,2026-01-06
O51148,No,No,Early,43,0,80206,
O51149,Yes,Yes,None,0,41736,38470,2026-03-03
O51150,No,No,Early,23,0,465909,
O51151,Yes,No,Mid,54,12419,79201,
O51152,No,No,Early,39,0,211475,
O51153,No,No,Early,26,0,434655,
O51154,Yes,No,Mid,40,73268,280513,
O51155,Yes,No,Mid,43,55407,298374,
O51156,Yes,Yes,None,0,17743,9214,2026-03-19
O51157,Yes,Yes,None,0,104626,116978,2026-01-23
O51158,Yes,Yes,None,0,146203,75401,2026-02-26
O51159,No,No,Early,44,0,272282,
O51160,No,No,Early,23,0,387220,
O51161,Yes,No,Mid,53,4977,12079,
O51162,No,No,Early,26,0,17056,
O51163,No,No,Early,42,0,305299,
O51164,Yes,Yes,None,0,204975,100324,2026-02-06
O51165,Yes,Yes,None,0,68415,52978,2026-03-28
O51166,No,No,Early,37,0,183904,
O51167,Yes,Yes,None,0,118445,83715,2026-01-23
O51168,Yes,No,Mid,49,38965,163195,
O51169,No,No,Early,22,0,271624,
O51170,No,No,Early,40,0,391756,
O51171,No,No,Early,17,0,100997,
O51172,Yes,Yes,None,0,57901,43096,2026-01-27
O51173,Yes,Yes,None,0,174379,255972,2026-03-03
O51174,Yes,No,Mid,88,89817,340534,
O51175,No,No,Early,15,0,172381,
O51176,Yes,No,Mid,34,5410,35835,
O51177,No,No,Early,34,0,41245,
O51178,Yes,No,Mid,72,73298,178977,
O51179,No,No,Early,29,0,24586,
O51180,Yes,Yes,None,0,45571,45948,2026-02-17
O51181,No,No,Early,35,0,232850,
