offer_id,account_id,offer_sequence_number,ai_recommended_offer_percent,actual_agent_offer_percent,offer_type,offer_percent,installment_months,emi_percent_of_income,offer_channel,offer_timestamp,response_timestamp,days_between_offer_and_response,ai_confidence_score,human_override_flag,override_reason_code,customer_response,considered_offer_percents
O50425,A10295,1,66,66,Installment,66,3,18,Call,2026-03-20,2026-04-08,19,0.66,No,NONE,Accepted,"[71, 66, 61]"
O50426,A10296,1,72,77,Installment,77,9,19,Email,2026-03-03,2026-03-06,3,0.78,Yes,Agent_Discretion,Rejected,"[77, 72, 67]"
O50427,A10297,1,55,55,Installment,55,9,19,Call,2026-02-18,2026-02-26,8,0.82,No,NONE,Accepted,"[60, 55, 50]"
O50428,A10298,1,52,52,Installment,52,3,21,Email,2026-02-27,2026-03-03,4,0.79,No,NONE,Rejected,"[57, 52, 47]"
O50429,A10299,1,38,38,Lump-Sum,38,0,19,SMS,2026-01-29,2026-02-04,6,0.67,No,NONE,Accepted,"[43, 38, 33]"
O50430,A10300,1,60,60,Installment,60,6,11,Call,2026-01-03,2026-01-23,20,0.75,No,NONE,Rejected,"[65, 60, 55]"
O50431,A10301,1,74,74,Installment,74,9,16,SMS,2026-01-11,2026-01-26,15,0.63,No,NONE,Accepted,"[79, 74, 69]"
O50432,A10302,1,76,76,Installment,76,6,9,Call,2026-03-21,2026-04-06,16,0.68,No,NONE,Rejected,"[81, 76, 71]"
O50433,A10302,2,82,82,Installment,82,3,10,Call,2026-03-03,2026-03-08,5,0.81,No,NONE,Accepted,"[87, 82, 77]"
O50434,A10303,1,78,78,Installment,78,9,12,Email,2026-01-07,2026-01-16,9,0.84,No,NONE,Accepted,"[83, 78, 73]"
O50435,A10304,1,64,64,Installment,64,3,19,SMS,2026-03-25,2026-04-05,11,0.71,No,NONE,Accepted,"[69, 64, 59]"
O50436,A10304,2,47,47,Installment,47,6,13,SMS,2026-03-01,2026-03-14,13,0.86,No,NONE,No Response,"[52, 47, 42]"
O50437,A10305,1,26,26,Lump-Sum,26,0,15,Email,2026-01-18,2026-01-19,1,0.83,No,NONE,Rejected,"[31, 26, 21]"
O50438,A10306,1,84,84,Installment,84,9,20,Email,2026-03-02,2026-03-11,9,0.63,No,NONE,Accepted,"[89, 84, 79]"
O50439,A10306,2,77,77,Installment,77,9,13,Email,2026-03-16,2026-04-05,20,0.55,No,NONE,Accepted,"[82, 77, 72]"
O50440,A10307,1,41,46,Lump-Sum,46,0,8,Email,2026-03-19,2026-04-05,17,0.84,Yes,Agent_Discretion,Rejected,"[46, 41, 36]"
O50441,A10308,1,80,80,Installment,80,3,11,SMS,2026-01-10,2026-01-28,18,0.77,No,NONE,Rejected,"[85, 80, 75]"
O50442,A10309,1,55,55,Installment,55,9,15,Email,2026-02-17,2026-03-07,18,0.88,No,NONE,Accepted,"[60, 55, 50]"
O50443,A10309,2,49,49,Installment,49,3,19,Call,2026-01-05,2026-01-23,18,0.78,No,NONE,Rejected,"[54, 49, 44]"
O50444,A10310,1,78,83,Installment,83,9,14,Call,2026-01-11,2026-01-28,17,0.68,Yes,Agent_Discretion,No Response,"[83, 78, 73]"
O50445,A10310,2,76,76,Installment,76,6,17,Call,2026-02-10,2026-02-18,8,0.6,No,NONE,Rejected,"[81, 76, 71]"
O50446,A10311,1,79,79,Installment,79,9,8,SMS,2026-01-22,2026-02-08,17,0.88,No,NONE,Accepted,"[84, 79, 74]"
O50447,A10312,1,65,65,Installment,65,6,11,Call,2026-02-12,2026-02-26,14,0.87,No,NONE,Rejected,"[70, 65, 60]"
O50448,A10312,2,77,77,Installment,77,6,9,Call,2026-02-06,2026-02-22,16,0.75,No,NONE,Rejected,"[82, 77, 72]"
O50449,A10313,1,64,69,Installment,69,9,21,Call,2026-02-09,2026-02-25,16,0.76,Yes,Agent_Discretion,Accepted,"[69, 64, 59]"
O50450,A10314,1,60,60,Installment,60,9,10,SMS,2026-03-28,2026-04-05,8,0.86,No,NONE,Rejected,"[65, 60, 55]"
O50451,A10314,2,52,52,Installment,52,3,14,SMS,2026-01-20,2026-01-26,6,0.78,No,NONE,No Response,"[57, 52, 47]"
O50452,A10315,1,33,33,Lump-Sum,33,0,19,Call,2026-02-19,2026-02-25,6,0.63,No,NONE,Accepted,"[38, 33, 28]"
O50453,A10316,1,54,59,Installment,59,9,12,Call,2026-01-15,2026-01-19,4,0.61,Yes,Agent_Discretion,Accepted,"[59, 54, 49]"
O50454,A10317,1,72,72,Installment,72,3,21,Call,2026-03-05,2026-03-12,7,0.64,No,NONE,Accepted,"[77, 72, 67]"
O50455,A10318,1,48,48,Installment,48,9,9,Call,2026-03-27,2026-03-30,3,0.85,No,NONE,Accepted,"[53, 48, 43]"
O50456,A10318,2,46,46,Installment,46,6,12,Call,2026-01-11,2026-01-24,13,0.82,No,NONE,Accepted,"[51, 46, 41]"
O50457,A10319,1,76,76,Installment,76,3,14,Email,2026-03-03,2026-03-19,16,0.66,No,NONE,Rejected,"[81, 76, 71]"
O50458,A10320,1,66,66,Installment,66,6,10,SMS,2026-01-13,2026-01-28,15,0.85,No,NONE,Accepted,"[71, 66, 61]"
O50459,A10321,1,71,71,Installment,71,6,18,SMS,2026-02-01,2026-02-09,8,0.72,No,NONE,Rejected,"[76, 71, 66]"
O50460,A10322,1,76,76,Installment,76,3,10,Call,2026-03-01,2026-03-07,6,0.59,No,NONE,Rejected,"[81, 76, 71]"
O50461,A10323,1,72,72,Installment,72,3,13,Email,2026-03-22,2026-04-07,16,0.81,No,NONE,Accepted,"[77, 72, 67]"
O50462,A10324,1,48,48,Installment,48,9,13,Email,2026-03-13,2026-03-25,12,0.75,No,NONE,Accepted,"[53, 48, 43]"
O50463,A10324,2,47,47,Installment,47,9,15,Call,2026-03-21,2026-03-26,5,0.6,No,NONE,Accepted,"[52, 47, 42]"
O50464,A10325,1,22,22,Lump-Sum,22,0,18,Email,2026-03-17,2026-04-02,16,0.75,No,NONE,Accepted,"[27, 22, 17]"
O50465,A10325,2,39,39,Lump-Sum,39,0,17,Email,2026-02-10,2026-03-02,20,0.76,No,NONE,Rejected,"[44, 39, 34]"
O50466,A10326,1,54,54,Installment,54,3,8,Call,2026-01-20,2026-02-08,19,0.64,No,NONE,Rejected,"[59, 54, 49]"
O50467,A10326,2,57,62,Installment,62,6,18,SMS,2026-02-27,2026-03-06,7,0.88,Yes,Agent_Discretion,Rejected,"[62, 57, 52]"
O50468,A10327,1,59,59,Installment,59,3,19,SMS,2026-02-08,2026-02-12,4,0.8,No,NONE,Rejected,"[64, 59, 54]"
O50469,A10327,2,62,62,Installment,62,3,9,SMS,2026-01-30,2026-02-05,6,0.8,No,NONE,Accepted,"[67, 62, 57]"
O50470,A10328,1,80,80,Installment,80,9,16,Call,2026-02-09,2026-02-27,18,0.82,No,NONE,Accepted,"[85, 80, 75]"
O50471,A10328,2,84,84,Installment,84,3,13,Email,2026-02-26,2026-03-17,19,0.61,No,NONE,Accepted,"[89, 84, 79]"
O50472,A10329,1,73,73,Installment,73,3,21,SMS,2026-01-12,2026-01-12,0,0.76,No,NONE,Accepted,"[78, 73, 68]"
O50473,A10330,1,65,65,Installment,65,9,14,Email,2026-02-11,2026-03-01,18,0.78,No,NONE,Accepted,"[70, 65, 60]"
O50474,A10331,1,72,72,Installment,72,6,12,SMS,2026-01-06,2026-01-23,17,0.84,No,NONE,Accepted,"[77, 72, 67]"
O50475,A10332,1,67,67,Installment,67,3,10,Call,2026-03-29,2026-04-14,16,0.78,No,NONE,No Response,"[72, 67, 62]"
O50476,A10332,2,81,81,Installment,81,6,13,Email,2026-02-25,2026-03-02,5,0.76,No,NONE,Accepted,"[86, 81, 76]"
O50477,A10333,1,81,81,Installment,81,6,8,SMS,2026-02-27,2026-03-11,12,0.67,No,NONE,Accepted,"[86, 81, 76]"
O50478,A10334,1,47,47,Installment,47,6,9,SMS,2026-02-25,2026-02-25,0,0.88,No,NONE,Accepted,"[52, 47, 42]"
O50479,A10334,2,60,60,Installment,60,9,16,Email,2026-02-07,2026-02-18,11,0.61,No,NONE,Rejected,"[65, 60, 55]"
O50480,A10335,1,33,33,Lump-Sum,33,0,17,Call,2026-02-03,2026-02-05,2,0.57,No,NONE,No Response,"[38, 33, 28]"
O50481,A10336,1,72,72,Installment,72,9,17,Email,2026-03-08,2026-03-12,4,0.57,No,NONE,Accepted,"[77, 72, 67]"
O50482,A10336,2,76,76,Installment,76,6,14,Email,2026-02-13,2026-02-27,14,0.67,No,NONE,Rejected,"[81, 76, 71]"
O50483,A10337,1,80,80,Installment,80,6,10,Call,2026-01-01,2026-01-02,1,0.76,No,NONE,No Response,"[85, 80, 75]"
O50484,A10338,1,45,50,Installment,50,9,21,SMS,2026-01-15,2026-01-28,13,0.61,Yes,Agent_Discretion,Accepted,"[50, 45, 40]"
O50485,A10338,2,49,49,Installment,49,9,9,SMS,2026-02-16,2026-02-19,3,0.84,No,NONE,Rejected,"[54, 49, 44]"
O50486,A10339,1,47,47,Installment,47,3,15,Email,2026-01-10,2026-01-29,19,0.64,No,NONE,Rejected,"[52, 47, 42]"
O50487,A10339,2,57,62,Installment,62,6,20,SMS,2026-02-06,2026-02-18,12,0.57,Yes,Agent_Discretion,Rejected,"[62, 57, 52]"
O50488,A10340,1,63,63,Installment,63,6,20,Email,2026-03-17,2026-03-23,6,0.81,No,NONE,Rejected,"[68, 63, 58]"
O50489,A10340,2,53,58,Installment,58,9,9,Email,2026-02-27,2026-03-19,20,0.59,Yes,Agent_Discretion,Accepted,"[58, 53, 48]"
O50490,A10341,1,52,52,Installment,52,3,17,Call,2026-01-01,2026-01-01,0,0.86,No,NONE,Rejected,"[57, 52, 47]"
O50491,A10342,1,47,47,Installment,47,3,8,Call,2026-01-08,2026-01-22,14,0.62,No,NONE,Accepted,"[52, 47, 42]"
O50492,A10343,1,78,78,Installment,78,6,15,SMS,2026-02-04,2026-02-17,13,0.75,No,NONE,Rejected,"[83, 78, 73]"
O50493,A10344,1,47,52,Installment,52,9,16,Call,2026-03-10,2026-03-26,16,0.56,Yes,Agent_Discretion,Accepted,"[52, 47, 42]"
O50494,A10344,2,64,64,Installment,64,6,11,SMS,2026-02-28,2026-03-17,17,0.87,No,NONE,Rejected,"[69, 64, 59]"
O50495,A10345,1,76,81,Installment,81,9,19,Email,2026-01-19,2026-01-29,10,0.58,Yes,Agent_Discretion,Accepted,"[81, 76, 71]"
O50496,A10346,1,60,65,Installment,65,9,18,Call,2026-01-24,2026-02-09,16,0.59,Yes,Agent_Discretion,Accepted,"[65, 60, 55]"
O50497,A10347,1,58,58,Installment,58,6,11,Email,2026-03-20,2026-04-03,14,0.56,No,NONE,No Response,"[63, 58, 53]"
O50498,A10348,1,57,57,Installment,57,9,18,Email,2026-01-03,2026-01-10,7,0.89,No,NONE,Accepted,"[62, 57, 52]"
O50499,A10349,1,56,56,Installment,56,9,21,Call,2026-02-26,2026-03-13,15,0.66,No,NONE,Accepted,"[61, 56, 51]"
O50500,A10349,2,51,51,Installment,51,9,12,Call,2026-02-12,2026-02-24,12,0.74,No,NONE,Rejected,"[56, 51, 46]"
O50501,A10350,1,68,68,Installment,68,6,15,Call,2026-01-06,2026-01-15,9,0.73,No,NONE,Accepted,"[73, 68, 63]"
O50502,A10351,1,60,60,Installment,60,6,18,Email,2026-03-04,2026-03-06,2,0.89,No,NONE,No Response,"[65, 60, 55]"
O50503,A10352,1,73,73,Installment,73,9,13,SMS,2026-02-01,2026-02-06,5,0.69,No,NONE,Rejected,"[78, 73, 68]"
O50504,A10353,1,74,79,Installment,79,9,21,SMS,2026-03-01,2026-03-12,11,0.7,Yes,Agent_Discretion,Accepted,"[79, 74, 69]"
O50505,A10354,1,29,29,Lump-Sum,29,0,11,Email,2026-02-16,2026-02-20,4,0.7,No,NONE,Accepted,"[34, 29, 24]"
O50506,A10355,1,60,60,Installment,60,6,16,Call,2026-03-15,2026-03-28,13,0.69,No,NONE,Accepted,"[65, 60, 55]"
O50507,A10356,1,78,78,Installment,78,6,10,Email,2026-02-17,2026-02-18,1,0.56,No,NONE,Rejected,"[83, 78, 73]"
O50508,A10357,1,42,42,Lump-Sum,42,0,19,SMS,2026-03-05,2026-03-06,1,0.7,No,NONE,Accepted,"[47, 42, 37]"
O50509,A10357,2,30,30,Lump-Sum,30,0,12,Email,2026-01-18,2026-01-20,2,0.75,No,NONE,Accepted,"[35, 30, 25]"
O50510,A10358,1,79,79,Installment,79,3,11,Email,2026-02-11,2026-02-22,11,0.55,No,NONE,Accepted,"[84, 79, 74]"
O50511,A10358,2,79,79,Installment,79,9,21,Email,2026-01-07,2026-01-21,14,0.57,No,NONE,Accepted,"[84, 79, 74]"
O50512,A10359,1,81,81,Installment,81,3,15,SMS,2026-03-22,2026-03-25,3,0.58,No,NONE,Accepted,"[86, 81, 76]"
O50513,A10359,2,79,79,Installment,79,6,17,Email,2026-01-30,2026-02-14,15,0.57,No,NONE,Accepted,"[84, 79, 74]"
O50514,A10360,1,67,67,Installment,67,9,20,Call,2026-02-16,2026-03-01,13,0.62,No,NONE,Accepted,"[72, 67, 62]"
O50515,A10361,1,64,64,Installment,64,6,13,Call,2026-03-04,2026-03-07,3,0.57,No,NONE,Accepted,"[69, 64, 59]"
O50516,A10361,2,57,57,Installment,57,9,21,Call,2026-02-03,2026-02-15,12,0.64,No,NONE,No Response,"[62, 57, 52]"
O50517,A10362,1,48,48,Installment,48,6,11,Email,2026-01-19,2026-01-24,5,0.83,No,NONE,Accepted,"[53, 48, 43]"
O50518,A10362,2,48,53,Installment,53,9,21,Email,2026-01-05,2026-01-24,19,0.68,Yes,Agent_Discretion,Rejected,"[53, 48, 43]"
O50519,A10363,1,66,71,Installment,71,9,14,Email,2026-01-09,2026-01-18,9,0.61,Yes,Agent_Discretion,Accepted,"[71, 66, 61]"
O50520,A10364,1,83,83,Installment,83,9,11,Call,2026-02-01,2026-02-02,1,0.7,No,NONE,Accepted,"[88, 83, 78]"
O50521,A10364,2,81,81,Installment,81,9,12,Email,2026-01-16,2026-01-29,13,0.79,No,NONE,Rejected,"[86, 81, 76]"
O50522,A10365,1,48,48,Installment,48,9,8,SMS,2026-02-19,2026-03-02,11,0.72,No,NONE,Accepted,"[53, 48, 43]"
O50523,A10366,1,54,54,Installment,54,9,17,Email,2026-01-24,2026-01-27,3,0.89,No,NONE,Rejected,"[59, 54, 49]"
O50524,A10366,2,57,57,Installment,57,9,8,Call,2026-03-08,2026-03-17,9,0.76,No,NONE,Rejected,"[62, 57, 52]"
O50525,A10367,1,64,64,Installment,64,6,15,SMS,2026-01-25,2026-02-03,9,0.77,No,NONE,Rejected,"[69, 64, 59]"
O50526,A10368,1,49,49,Installment,49,6,18,Email,2026-01-22,2026-02-10,19,0.81,No,NONE,Accepted,"[54, 49, 44]"
O50527,A10369,1,46,46,Installment,46,6,16,Call,2026-03-14,2026-03-25,11,0.58,No,NONE,Accepted,"[51, 46, 41]"
O50528,A10370,1,46,46,Installment,46,9,16,Call,2026-02-05,2026-02-06,1,0.69,No,NONE,Rejected,"[51, 46, 41]"
O50529,A10371,1,64,64,Installment,64,6,21,Call,2026-01-24,2026-02-13,20,0.84,No,NONE,Accepted,"[69, 64, 59]"
O50530,A10372,1,76,76,Installment,76,3,11,Call,2026-03-11,2026-03-14,3,0.73,No,NONE,Rejected,"[81, 76, 71]"
O50531,A10372,2,68,68,Installment,68,6,13,Email,2026-02-02,2026-02-14,12,0.64,No,NONE,Rejected,"[73, 68, 63]"
O50532,A10373,1,24,24,Lump-Sum,24,0,21,Call,2026-03-19,2026-03-25,6,0.79,No,NONE,No Response,"[29, 24, 19]"
O50533,A10374,1,71,71,Installment,71,3,16,Call,2026-01-15,2026-01-26,11,0.87,No,NONE,Rejected,"[76, 71, 66]"
O50534,A10374,2,77,77,Installment,77,9,21,Email,2026-03-28,2026-04-04,7,0.86,No,NONE,Accepted,"[82, 77, 72]"
O50535,A10375,1,83,83,Installment,83,3,18,Email,2026-03-03,2026-03-10,7,0.86,No,NONE,Rejected,"[88, 83, 78]"
O50536,A10376,1,46,46,Installment,46,9,8,Email,2026-03-30,2026-04-06,7,0.58,No,NONE,Rejected,"[51, 46, 41]"
O50537,A10376,2,55,55,Installment,55,9,11,Call,2026-03-31,2026-04-15,15,0.71,No,NONE,Accepted,"[60, 55, 50]"
O50538,A10377,1,65,65,Installment,65,6,15,SMS,2026-01-29,2026-02-17,19,0.79,No,NONE,Accepted,"[70, 65, 60]"
O50539,A10378,1,49,49,Installment,49,3,11,SMS,2026-03-17,2026-04-05,19,0.83,No,NONE,Accepted,"[54, 49, 44]"
O50540,A10378,2,63,63,Installment,63,3,20,SMS,2026-02-14,2026-02-24,10,0.65,No,NONE,Accepted,"[68, 63, 58]"
O50541,A10379,1,75,75,Installment,75,6,10,Call,2026-03-13,2026-03-22,9,0.65,No,NONE,Accepted,"[80, 75, 70]"
O50542,A10379,2,73,78,Installment,78,9,10,Email,2026-03-24,2026-04-08,15,0.74,Yes,Agent_Discretion,Accepted,"[78, 73, 68]"
O50543,A10380,1,75,80,Installment,80,6,21,Call,2026-02-12,2026-03-02,18,0.78,Yes,Agent_Discretion,Accepted,"[80, 75, 70]"
O50544,A10380,2,67,67,Installment,67,6,15,Email,2026-02-28,2026-03-19,19,0.77,No,NONE,Accepted,"[72, 67, 62]"
O50545,A10381,1,70,70,Installment,70,3,12,Call,2026-02-12,2026-03-02,18,0.81,No,NONE,No Response,"[75, 70, 65]"
O50546,A10382,1,84,84,Installment,84,9,21,Call,2026-03-16,2026-04-01,16,0.69,No,NONE,No Response,"[89, 84, 79]"
O50547,A10382,2,77,77,Installment,77,9,16,Call,2026-01-28,2026-02-07,10,0.84,No,NONE,Accepted,"[82, 77, 72]"
O50548,A10383,1,78,78,Installment,78,9,21,Call,2026-01-30,2026-02-15,16,0.88,No,NONE,No Response,"[83, 78, 73]"
O50549,A10384,1,44,44,Lump-Sum,44,0,13,Call,2026-02-16,2026-03-08,20,0.57,No,NONE,Rejected,"[49, 44, 39]"
O50550,A10385,1,41,41,Lump-Sum,41,0,17,SMS,2026-02-10,2026-02-19,9,0.76,No,NONE,Rejected,"[46, 41, 36]"
O50551,A10385,2,25,25,Lump-Sum,25,0,19,SMS,2026-02-02,2026-02-02,0,0.79,No,NONE,Accepted,"[30, 25, 20]"
O50552,A10386,1,48,48,Installment,48,3,10,SMS,2026-02-19,2026-02-27,8,0.64,No,NONE,Accepted,"[53, 48, 43]"
O50553,A10386,2,64,69,Installment,69,3,9,SMS,2026-01-27,2026-02-09,13,0.6,Yes,Agent_Discretion,Accepted,"[69, 64, 59]"
O50554,A10387,1,68,68,Installment,68,6,17,Email,2026-02-08,2026-02-23,15,0.73,No,NONE,Accepted,"[73, 68, 63]"
O50555,A10388,1,46,46,Installment,46,6,12,Email,2026-02-05,2026-02-22,17,0.88,No,NONE,Accepted,"[51, 46, 41]"
O50556,A10389,1,57,57,Installment,57,6,10,SMS,2026-02-13,2026-02-20,7,0.7,No,NONE,No Response,"[62, 57, 52]"
O50557,A10389,2,54,54,Installment,54,3,13,SMS,2026-01-12,2026-01-18,6,0.55,No,NONE,Accepted,"[59, 54, 49]"
O50558,A10390,1,79,79,Installment,79,9,14,Email,2026-02-13,2026-03-02,17,0.71,No,NONE,Rejected,"[84, 79, 74]"
O50559,A10391,1,56,61,Installment,61,9,9,SMS,2026-01-11,2026-01-14,3,0.73,Yes,Agent_Discretion,Accepted,"[61, 56, 51]"
O50560,A10391,2,46,46,Installment,46,3,14,SMS,2026-01-06,2026-01-15,9,0.56,No,NONE,Accepted,"[51, 46, 41]"
O50561,A10392,1,26,26,Lump-Sum,26,0,16,Call,2026-02-20,2026-03-08,16,0.61,No,NONE,Accepted,"[31, 26, 21]"
O50562,A10392,2,42,42,Lump-Sum,42,0,18,Email,2026-02-22,2026-03-03,9,0.68,No,NONE,Rejected,"[47, 42, 37]"
O50563,A10393,1,67,67,Installment,67,9,13,Email,2026-01-29,2026-02-12,14,0.85,No,NONE,No Response,"[72, 67, 62]"
O50564,A10394,1,52,52,Installment,52,9,12,Email,2026-03-25,2026-04-08,14,0.57,No,NONE,Rejected,"[57, 52, 47]"
O50565,A10394,2,57,57,Installment,57,3,12,SMS,2026-01-09,2026-01-22,13,0.87,No,NONE,Rejected,"[62, 57, 52]"
O50566,A10395,1,61,61,Installment,61,9,21,SMS,2026-01-01,2026-01-10,9,0.58,No,NONE,Accepted,"[66, 61, 56]"
O50567,A10395,2,61,61,Installment,61,3,14,Email,2026-03-19,2026-03-27,8,0.79,No,NONE,Rejected,"[66, 61, 56]"
O50568,A10396,1,57,62,Installment,62,9,19,Email,2026-01-28,2026-02-14,17,0.78,Yes,Agent_Discretion,Rejected,"[62, 57, 52]"
O50569,A10397,1,59,59,Installment,59,6,16,Call,2026-03-25,2026-03-25,0,0.56,No,NONE,No Response,"[64, 59, 54]"
O50570,A10398,1,60,65,Installment,65,3,16,Call,2026-02-14,2026-02-26,12,0.77,Yes,Agent_Discretion,Accepted,"[65, 60, 55]"
O50571,A10399,1,77,77,Installment,77,9,20,Call,2026-03-04,2026-03-15,11,0.77,No,NONE,Rejected,"[82, 77, 72]"
O50572,A10400,1,51,51,Installment,51,3,8,Email,2026-01-14,2026-01-26,12,0.81,No,NONE,Rejected,"[56, 51, 46]"
O50573,A10400,2,63,63,Installment,63,9,19,Email,2026-02-24,2026-02-24,0,0.57,No,NONE,Accepted,"[68, 63, 58]"
O50574,A10401,1,47,47,Installment,47,6,20,Call,2026-02-09,2026-02-24,15,0.73,No,NONE,No Response,"[52, 47, 42]"
O50575,A10401,2,60,60,Installment,60,6,15,Email,2026-02-04,2026-02-16,12,0.88,No,NONE,No Response,"[65, 60, 55]"
O50576,A10402,1,53,53,Installment,53,9,18,Email,2026-01-23,2026-02-10,18,0.7,No,NONE,Accepted,"[58, 53, 48]"
O50577,A10402,2,55,55,Installment,55,3,16,Email,2026-03-20,2026-03-20,0,0.74,No,NONE,Rejected,"[60, 55, 50]"
O50578,A10403,1,63,63,Installment,63,9,9,Email,2026-02-20,2026-03-01,9,0.64,No,NONE,Rejected,"[68, 63, 58]"
O50579,A10404,1,52,52,Installment,52,9,11,SMS,2026-03-18,2026-04-03,16,0.87,No,NONE,Accepted,"[57, 52, 47]"
O50580,A10405,1,46,46,Installment,46,9,16,SMS,2026-02-10,2026-02-15,5,0.81,No,NONE,Accepted,"[51, 46, 41]"
O50581,A10405,2,58,63,Installment,63,9,8,Email,2026-01-03,2026-01-23,20,0.77,Yes,Agent_Discretion,Rejected,"[63, 58, 53]"
O50582,A10406,1,57,57,Installment,57,3,20,SMS,2026-01-01,2026-01-04,3,0.85,No,NONE,Rejected,"[62, 57, 52]"
O50583,A10407,1,66,66,Installment,66,3,13,Email,2026-01-23,2026-02-10,18,0.64,No,NONE,Accepted,"[71, 66, 61]"
O50584,A10407,2,65,65,Installment,65,6,16,SMS,2026-02-24,2026-03-13,17,0.76,No,NONE,Rejected,"[70, 65, 60]"
O50585,A10408,1,53,58,Installment,58,6,21,SMS,2026-02-08,2026-02-17,9,0.62,Yes,Agent_Discretion,Accepted,"[58, 53, 48]"
O50586,A10409,1,73,73,Installment,73,3,20,SMS,2026-01-04,2026-01-11,7,0.65,No,NONE,Accepted,"[78, 73, 68]"
O50587,A10410,1,64,64,Installment,64,9,9,Email,2026-01-05,2026-01-24,19,0.79,No,NONE,No Response,"[69, 64, 59]"
O50588,A10411,1,54,54,Installment,54,9,21,SMS,2026-01-08,2026-01-10,2,0.6,No,NONE,Accepted,"[59, 54, 49]"
O50589,A10411,2,49,49,Installment,49,3,19,SMS,2026-01-13,2026-01-16,3,0.63,No,NONE,Rejected,"[54, 49, 44]"
O50590,A10412,1,21,21,Lump-Sum,21,0,15,Email,2026-03-01,2026-03-07,6,0.58,No,NONE,Accepted,"[26, 21, 16]"
O50591,A10412,2,38,38,Lump-Sum,38,0,11,Email,2026-03-30,2026-04-16,17,0.6,No,NONE,Rejected,"[43, 38, 33]"
O50592,A10413,1,51,51,Installment,51,6,10,Call,2026-03-11,2026-03-13,2,0.62,No,NONE,Accepted,"[56, 51, 46]"
O50593,A10413,2,49,49,Installment,49,6,21,SMS,2026-02-28,2026-03-18,18,0.68,No,NONE,Rejected,"[54, 49, 44]"
O50594,A10414,1,78,78,Installment,78,3,16,Email,2026-01-07,2026-01-25,18,0.64,No,NONE,Rejected,"[83, 78, 73]"
O50595,A10414,2,82,82,Installment,82,3,20,SMS,2026-03-24,2026-04-02,9,0.85,No,NONE,Rejected,"[87, 82, 77]"
O50596,A10415,1,70,70,Installment,70,3,21,SMS,2026-03-28,2026-04-02,5,0.57,No,NONE,Rejected,"[75, 70, 65]"
O50597,A10416,1,63,63,Installment,63,9,13,SMS,2026-01-28,2026-01-30,2,0.6,No,NONE,No Response,"[68, 63, 58]"
O50598,A10417,1,71,71,Installment,71,6,18,Email,2026-03-13,2026-03-31,18,0.6,No,NONE,Rejected,"[76, 71, 66]"
O50599,A10418,1,48,48,Installment,48,9,18,SMS,2026-01-03,2026-01-15,12,0.72,No,NONE,Rejected,"[53, 48, 43]"
O50600,A10418,2,56,56,Installment,56,3,8,Call,2026-03-16,2026-03-25,9,0.69,No,NONE,Rejected,"[61, 56, 51]"
O50601,A10419,1,81,81,Installment,81,9,11,Email,2026-01-05,2026-01-20,15,0.59,No,NONE,Rejected,"[86, 81, 76]"
O50602,A10420,1,61,61,Installment,61,6,13,Call,2026-01-23,2026-02-09,17,0.66,No,NONE,Accepted,"[66, 61, 56]"
O50603,A10420,2,59,59,Installment,59,9,21,Email,2026-01-08,2026-01-22,14,0.85,No,NONE,Accepted,"[64, 59, 54]"
O50604,A10421,1,84,84,Installment,84,6,19,Call,2026-01-01,2026-01-02,1,0.67,No,NONE,Accepted,"[89, 84, 79]"
O50605,A10421,2,71,71,Installment,71,6,15,Email,2026-01-31,2026-02-05,5,0.64,No,NONE,Accepted,"[76, 71, 66]"
O50606,A10422,1,64,64,Installment,64,3,9,Call,2026-01-22,2026-01-24,2,0.79,No,NONE,Accepted,"[69, 64, 59]"
O50607,A10422,2,60,60,Installment,60,3,14,Call,2026-01-02,2026-01-05,3,0.81,No,NONE,Accepted,"[65, 60, 55]"
O50608,A10423,1,69,69,Installment,69,3,12,SMS,2026-01-16,2026-02-03,18,0.7,No,NONE,Accepted,"[74, 69, 64]"
O50609,A10423,2,73,73,Installment,73,9,20,Call,2026-03-27,2026-03-28,1,0.81,No,NONE,No Response,"[78, 73, 68]"
O50610,A10424,1,65,65,Installment,65,3,9,Email,2026-01-04,2026-01-07,3,0.68,No,NONE,Rejected,"[70, 65, 60]"
O50611,A10424,2,74,79,Installment,79,6,9,Email,2026-03-01,2026-03-06,5,0.81,Yes,Agent_Discretion,Accepted,"[79, 74, 69]"
O50612,A10425,1,82,82,Installment,82,3,17,SMS,2026-02-12,2026-02-18,6,0.85,No,NONE,No Response,"[87, 82, 77]"
O50613,A10425,2,83,88,Installment,88,9,14,Call,2026-02-27,2026-03-02,3,0.9,Yes,Agent_Discretion,Rejected,"[88, 83, 78]"
O50614,A10426,1,65,65,Installment,65,6,18,SMS,2026-02-18,2026-03-09,19,0.8,No,NONE,Accepted,"[70, 65, 60]"
O50615,A10427,1,31,31,Lump-Sum,31,0,13,Email,2026-02-25,2026-03-15,18,0.55,No,NONE,Accepted,"[36, 31, 26]"
O50616,A10428,1,59,59,Installment,59,6,21,SMS,2026-03-27,2026-03-29,2,0.86,No,NONE,No Response,"[64, 59, 54]"
O50617,A10429,1,53,53,Installment,53,6,14,Call,2026-03-06,2026-03-21,15,0.65,No,NONE,Accepted,"[58, 53, 48]"
